Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,David Coulthard,COU,McLaren Mercedes,1:17.529,8
2,3,Michael Schumacher,MSC,Ferrari,1:17.667,8
3,1,Mika Hakkinen,HAK,McLaren Mercedes,1:17.785,9
4,4,Rubens Barrichello,BAR,Ferrari,1:18.227,9
5,9,Ralf Schumacher,RSC,Williams BMW,1:18.515,9
6,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:18.612,9
7,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:18.697,8
8,7,Eddie Irvine,IRV,Jaguar Cosworth,1:18.703,9
9,22,Jacques Villeneuve,VIL,BAR Honda,1:18.742,9
10,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:18.830,8
11,10,Jenson Button,BUT,Williams BMW,1:18.887,11
12,18,Pedro de la Rosa,DLR,Arrows Supertec,1:19.024,11
13,19,Jos Verstappen,VER,Arrows Supertec,1:19.190,12
14,12,Alexander Wurz,WUR,Benetton Playlife,1:19.378,10
15,16,Pedro Diniz,DIN,Sauber Petronas,1:19.422,11
16,8,Johnny Herbert,HER,Jaguar Cosworth,1:19.638,9
17,14,Jean Alesi,ALE,Prost Peugeot,1:19.651,7
18,23,Ricardo Zonta,ZON,BAR Honda,1:19.766,8
19,17,Mika Salo,SAL,Sauber Petronas,1:19.814,10
20,20,Marc Gene,GEN,Minardi Fondmetal,1:20.162,11
21,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:21.015,11
