Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:15.632,8
2,2,David Coulthard,COU,McLaren Mercedes,1:15.734,10
3,4,Rubens Barrichello,BAR,Ferrari,1:16.047,12
4,1,Mika Hakkinen,HAK,McLaren Mercedes,1:16.050,12
5,9,Ralf Schumacher,RSC,Williams BMW,1:16.291,12
6,7,Eddie Irvine,IRV,Jaguar Cosworth,1:16.399,12
7,22,Jacques Villeneuve,VIL,BAR Honda,1:16.653,11
8,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:16.658,12
9,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:16.669,11
10,10,Jenson Button,BUT,Williams BMW,1:16.905,11
11,8,Johnny Herbert,HER,Jaguar Cosworth,1:17.176,12
12,17,Mika Salo,SAL,Sauber Petronas,1:17.223,12
13,18,Pedro de la Rosa,DLR,Arrows Supertec,1:17.279,10
14,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:17.317,12
15,16,Pedro Diniz,DIN,Sauber Petronas,1:17.361,12
16,15,Nick Heidfeld,HEI,Prost Peugeot,1:17.374,12
17,12,Alexander Wurz,WUR,Benetton Playlife,1:17.408,12
18,14,Jean Alesi,ALE,Prost Peugeot,1:17.569,12
19,23,Ricardo Zonta,ZON,BAR Honda,1:17.668,10
20,19,Jos Verstappen,VER,Arrows Supertec,1:17.933,12
21,20,Marc Gene,GEN,Minardi Fondmetal,1:18.130,11
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:18.302,12
