Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:10.410,12
2,2,David Coulthard,COU,McLaren Mercedes,1:10.795,12
3,4,Rubens Barrichello,BAR,Ferrari,1:10.844,12
4,3,Michael Schumacher,MSC,Ferrari,1:11.046,11
5,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:11.640,12
6,23,Ricardo Zonta,ZON,BAR Honda,1:11.647,12
7,22,Jacques Villeneuve,VIL,BAR Honda,1:11.649,12
8,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:11.658,11
9,17,Mika Salo,SAL,Sauber Petronas,1:11.761,10
10,19,Jos Verstappen,VER,Arrows Supertec,1:11.905,12
11,16,Pedro Diniz,DIN,Sauber Petronas,1:11.931,11
12,18,Pedro de la Rosa,DLR,Arrows Supertec,1:11.978,12
13,15,Nick Heidfeld,HEI,Prost Peugeot,1:12.037,12
14,12,Alexander Wurz,WUR,Benetton Playlife,1:12.038,10
15,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:12.043,12
16,8,Johnny Herbert,HER,Jaguar Cosworth,1:12.238,11
17,14,Jean Alesi,ALE,Prost Peugeot,1:12.304,12
18,10,Jenson Button,BUT,Williams BMW,1:12.337,11
19,9,Ralf Schumacher,RSC,Williams BMW,1:12.347,12
20,20,Marc Gene,GEN,Minardi Fondmetal,1:12.722,11
21,7,Luciano Burti,BUR,Jaguar Cosworth,1:12.822,12
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:13.419,12
