Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:17.514,9
2,2,David Coulthard,COU,McLaren Mercedes,1:17.886,12
3,1,Mika Hakkinen,HAK,McLaren Mercedes,1:17.922,12
4,9,Ralf Schumacher,RSC,Williams BMW,1:18.321,11
5,4,Rubens Barrichello,BAR,Ferrari,1:18.330,12
6,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:18.523,12
7,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:18.607,11
8,10,Jenson Button,BUT,Williams BMW,1:18.699,11
9,17,Mika Salo,SAL,Sauber Petronas,1:18.748,12
10,7,Eddie Irvine,IRV,Jaguar Cosworth,1:19.008,11
11,12,Alexander Wurz,WUR,Benetton Playlife,1:19.259,11
12,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:19.266,12
13,16,Pedro Diniz,DIN,Sauber Petronas,1:19.451,12
14,14,Jean Alesi,ALE,Prost Peugeot,1:19.626,12
15,18,Pedro de la Rosa,DLR,Arrows Supertec,1:19.897,12
16,22,Jacques Villeneuve,VIL,BAR Honda,1:19.937,11
17,8,Johnny Herbert,HER,Jaguar Cosworth,1:19.956,11
18,23,Ricardo Zonta,ZON,BAR Honda,1:20.272,12
19,15,Nick Heidfeld,HEI,Prost Peugeot,1:20.481,12
20,19,Jos Verstappen,VER,Arrows Supertec,1:20.609,12
21,20,Marc Gene,GEN,Minardi Fondmetal,1:20.654,12
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:20.905,12
