Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:18.439,11
2,2,David Coulthard,COU,McLaren Mercedes,1:18.537,12
3,4,Rubens Barrichello,BAR,Ferrari,1:18.801,10
4,1,Mika Hakkinen,HAK,McLaren Mercedes,1:18.985,12
5,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:19.483,11
6,22,Jacques Villeneuve,VIL,BAR Honda,1:19.544,12
7,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:19.581,12
8,23,Ricardo Zonta,ZON,BAR Honda,1:19.742,12
9,18,Pedro de la Rosa,DLR,Arrows Supertec,1:19.912,12
10,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:19.932,12
11,8,Johnny Herbert,HER,Jaguar Cosworth,1:19.954,11
12,9,Ralf Schumacher,RSC,Williams BMW,1:20.073,12
13,19,Jos Verstappen,VER,Arrows Supertec,1:20.107,12
14,12,Alexander Wurz,WUR,Benetton Playlife,1:20.113,12
15,17,Mika Salo,SAL,Sauber Petronas,1:20.445,11
16,7,Eddie Irvine,IRV,Jaguar Cosworth,1:20.500,11
17,14,Jean Alesi,ALE,Prost Peugeot,1:20.512,8
18,10,Jenson Button,BUT,Williams BMW,1:20.534,10
19,16,Pedro Diniz,DIN,Sauber Petronas,1:20.692,12
20,20,Marc Gene,GEN,Minardi Fondmetal,1:21.058,11
21,15,Nick Heidfeld,HEI,Prost Peugeot,1:21.680,12
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:22.091,11
