Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:30.556,11
2,2,David Coulthard,COU,McLaren Mercedes,1:30.910,11
3,3,Michael Schumacher,MSC,Ferrari,1:31.075,9
4,4,Rubens Barrichello,BAR,Ferrari,1:31.102,8
5,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:31.359,12
6,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:31.504,8
7,7,Eddie Irvine,IRV,Jaguar Cosworth,1:31.514,10
8,22,Jacques Villeneuve,VIL,BAR Honda,1:31.968,11
9,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:31.992,10
10,17,Mika Salo,SAL,Sauber Petronas,1:32.018,11
11,9,Ralf Schumacher,RSC,Williams BMW,1:32.220,9
12,18,Pedro de la Rosa,DLR,Arrows Supertec,1:32.323,11
13,19,Jos Verstappen,VER,Arrows Supertec,1:32.477,11
14,12,Alexander Wurz,WUR,Benetton Playlife,1:32.775,11
15,15,Nick Heidfeld,HEI,Prost Peugeot,1:33.024,11
16,23,Ricardo Zonta,ZON,BAR Honda,1:33.117,10
17,14,Jean Alesi,ALE,Prost Peugeot,1:33.197,11
18,20,Marc Gene,GEN,Minardi Fondmetal,1:33.261,11
19,16,Pedro Diniz,DIN,Sauber Petronas,1:33.378,8
20,8,Johnny Herbert,HER,Jaguar Cosworth,1:33.638,9
21,10,Jenson Button,BUT,Williams BMW,1:33.828,11
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:34.705,12
