Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:14.111,10
2,2,David Coulthard,COU,McLaren Mercedes,1:14.285,12
3,3,Michael Schumacher,MSC,Ferrari,1:14.508,12
4,4,Rubens Barrichello,BAR,Ferrari,1:14.636,12
5,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:15.375,12
6,7,Eddie Irvine,IRV,Jaguar Cosworth,1:15.425,10
7,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:15.455,9
8,23,Ricardo Zonta,ZON,BAR Honda,1:15.484,10
9,10,Jenson Button,BUT,Williams BMW,1:15.490,11
10,22,Jacques Villeneuve,VIL,BAR Honda,1:15.515,10
11,9,Ralf Schumacher,RSC,Williams BMW,1:15.561,10
12,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:15.627,10
13,12,Alexander Wurz,WUR,Benetton Playlife,1:15.664,12
14,19,Jos Verstappen,VER,Arrows Supertec,1:15.704,12
15,14,Jean Alesi,ALE,Prost Peugeot,1:15.715,12
16,18,Pedro de la Rosa,DLR,Arrows Supertec,1:16.002,12
17,8,Johnny Herbert,HER,Jaguar Cosworth,1:16.250,11
18,20,Marc Gene,GEN,Minardi Fondmetal,1:16.380,11
19,15,Nick Heidfeld,HEI,Prost Peugeot,1:17.112,12
20,16,Pedro Diniz,DIN,Sauber Petronas,1:17.178,3
21,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:17.512,12
22,17,Mika Salo,SAL,Sauber Petronas,1:18.703,3
