Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:14.266,12
2,2,David Coulthard,COU,McLaren Mercedes,1:14.392,12
3,1,Mika Hakkinen,HAK,McLaren Mercedes,1:14.428,12
4,4,Rubens Barrichello,BAR,Ferrari,1:14.600,12
5,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:15.006,12
6,10,Jenson Button,BUT,Williams BMW,1:15.017,12
7,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:15.067,11
8,22,Jacques Villeneuve,VIL,BAR Honda,1:15.317,10
9,16,Pedro Diniz,DIN,Sauber Petronas,1:15.418,12
10,9,Ralf Schumacher,RSC,Williams BMW,1:15.484,11
11,12,Alexander Wurz,WUR,Benetton Playlife,1:15.762,10
12,23,Ricardo Zonta,ZON,BAR Honda,1:15.784,12
13,19,Jos Verstappen,VER,Arrows Supertec,1:15.808,12
14,17,Mika Salo,SAL,Sauber Petronas,1:15.881,12
15,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:15.907,12
16,15,Nick Heidfeld,HEI,Prost Peugeot,1:16.060,12
17,7,Eddie Irvine,IRV,Jaguar Cosworth,1:16.098,12
18,18,Pedro de la Rosa,DLR,Arrows Supertec,1:16.143,12
19,8,Johnny Herbert,HER,Jaguar Cosworth,1:16.225,12
20,14,Jean Alesi,ALE,Prost Peugeot,1:16.471,11
21,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:16.809,11
22,20,Marc Gene,GEN,Minardi Fondmetal,1:17.161,11
