Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:50.646,11
2,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:51.419,12
3,10,Jenson Button,BUT,Williams BMW,1:51.444,12
4,3,Michael Schumacher,MSC,Ferrari,1:51.552,12
5,2,David Coulthard,COU,McLaren Mercedes,1:51.587,11
6,9,Ralf Schumacher,RSC,Williams BMW,1:51.743,12
7,22,Jacques Villeneuve,VIL,BAR Honda,1:51.799,12
8,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:51.926,11
9,8,Johnny Herbert,HER,Jaguar Cosworth,1:52.242,12
10,4,Rubens Barrichello,BAR,Ferrari,1:52.444,12
11,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:52.756,5
12,7,Eddie Irvine,IRV,Jaguar Cosworth,1:52.885,11
13,23,Ricardo Zonta,ZON,BAR Honda,1:53.002,11
14,15,Nick Heidfeld,HEI,Prost Peugeot,1:53.193,12
15,16,Pedro Diniz,DIN,Sauber Petronas,1:53.211,11
16,18,Pedro de la Rosa,DLR,Arrows Supertec,1:53.237,11
17,14,Jean Alesi,ALE,Prost Peugeot,1:53.309,11
18,17,Mika Salo,SAL,Sauber Petronas,1:53.357,11
19,12,Alexander Wurz,WUR,Benetton Playlife,1:53.403,5
20,19,Jos Verstappen,VER,Arrows Supertec,1:53.912,12
21,20,Marc Gene,GEN,Minardi Fondmetal,1:54.680,10
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:54.784,12
