Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,4,Rubens Barrichello,BAR,Ferrari,1:25.703,11
2,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:25.706,10
3,1,Mika Hakkinen,HAK,McLaren Mercedes,1:25.741,11
4,2,David Coulthard,COU,McLaren Mercedes,1:26.088,12
5,3,Michael Schumacher,MSC,Ferrari,1:26.161,10
6,10,Jenson Button,BUT,Williams BMW,1:26.733,12
7,9,Ralf Schumacher,RSC,Williams BMW,1:26.786,12
8,19,Jos Verstappen,VER,Arrows Supertec,1:26.793,10
9,7,Eddie Irvine,IRV,Jaguar Cosworth,1:26.818,11
10,22,Jacques Villeneuve,VIL,BAR Honda,1:27.025,11
11,6,Jarno Trulli,TRU,Jordan Mugen Honda,1:27.164,11
12,11,Giancarlo Fisichella,FIS,Benetton Playlife,1:27.253,12
13,16,Pedro Diniz,DIN,Sauber Petronas,1:27.301,12
14,8,Johnny Herbert,HER,Jaguar Cosworth,1:27.461,12
15,14,Jean Alesi,ALE,Prost Peugeot,1:27.559,12
16,23,Ricardo Zonta,ZON,BAR Honda,1:27.772,12
17,15,Nick Heidfeld,HEI,Prost Peugeot,1:27.806,12
18,17,Mika Salo,SAL,Sauber Petronas,1:28.110,12
19,18,Pedro de la Rosa,DLR,Arrows Supertec,1:28.135,12
20,12,Alexander Wurz,WUR,Benetton Playlife,1:28.205,11
21,20,Marc Gene,GEN,Minardi Fondmetal,1:28.253,12
22,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,1:29.174,12
