Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,17 Mar 2013,Kimi Räikkönen,RAI,Lotus Renault,58,1:30:03.225
malaysia,24 Mar 2013,Sebastian Vettel,VET,Red Bull Racing Renault,56,1:38:56.681
china,14 Apr 2013,Fernando Alonso,ALO,Ferrari,56,1:36:26.945
bahrain,21 Apr 2013,Sebastian Vettel,VET,Red Bull Racing Renault,57,1:36:00.498
spain,12 May 2013,Fernando Alonso,ALO,Ferrari,66,1:39:16.596
monaco,26 May 2013,Nico Rosberg,ROS,Mercedes,78,2:17:52.056
canada,09 Jun 2013,Sebastian Vettel,VET,Red Bull Racing Renault,70,1:32:09.143
great-britain,30 Jun 2013,Nico Rosberg,ROS,Mercedes,52,1:32:59.456
germany,07 Jul 2013,Sebastian Vettel,VET,Red Bull Racing Renault,60,1:41:14.711
hungary,28 Jul 2013,Lewis Hamilton,HAM,Mercedes,70,1:42:29.445
belgium,25 Aug 2013,Sebastian Vettel,VET,Red Bull Racing Renault,44,1:23:42.196
italy,08 Sep 2013,Sebastian Vettel,VET,Red Bull Racing Renault,53,1:18:33.352
singapore,22 Sep 2013,Sebastian Vettel,VET,Red Bull Racing Renault,61,1:59:13.132
south-korea,06 Oct 2013,Sebastian Vettel,VET,Red Bull Racing Renault,55,1:43:13.701
japan,13 Oct 2013,Sebastian Vettel,VET,Red Bull Racing Renault,53,1:26:49.301
india,27 Oct 2013,Sebastian Vettel,VET,Red Bull Racing Renault,60,1:31:12.187
abu-dhabi,03 Nov 2013,Sebastian Vettel,VET,Red Bull Racing Renault,55,1:38:06.106
united-states,17 Nov 2013,Sebastian Vettel,VET,Red Bull Racing Renault,56,1:39:17.148
brazil,24 Nov 2013,Sebastian Vettel,VET,Red Bull Racing Renault,71,1:32:36.300
