Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Michael Schumacher,MSC,Ferrari,58,1:35:36.792,10
2,6,Juan Pablo Montoya,MOY,Williams BMW,58,+18.628s,6
3,4,Kimi Räikkönen,RAI,McLaren Mercedes,58,+25.067s,4
4,16,Eddie Irvine,IRV,Jaguar Cosworth,57,+1 lap,3
5,23,Mark Webber,WEB,Minardi Asiatech,56,+2 laps,2
6,24,Mika Salo,SAL,Toyota,56,+2 laps,1
7,22,Alex Yoong,YOO,Minardi Asiatech,55,+3 laps,0
8,17,Pedro de la Rosa,DLR,Jaguar Cosworth,53,+5 laps,0
NC,3,David Coulthard,COU,McLaren Mercedes,33,DNF,0
NC,11,Jacques Villeneuve,VIL,BAR Honda,27,DNF,0
NC,10,Takuma Sato,SAT,Jordan Honda,12,DNF,0
NC,14,Jarno Trulli,TRU,Renault,8,DNF,0
NC,2,Rubens Barrichello,BAR,Ferrari,0,DNF,0
NC,5,Ralf Schumacher,RSC,Williams BMW,0,DNF,0
NC,9,Giancarlo Fisichella,FIS,Jordan Honda,0,DNF,0
NC,8,Felipe Massa,MAS,Sauber Petronas,0,DNF,0
NC,7,Nick Heidfeld,HEI,Sauber Petronas,0,DNF,0
NC,15,Jenson Button,BUT,Renault,0,DNF,0
NC,12,Olivier Panis,PAN,BAR Honda,0,DNF,0
NC,25,Allan McNish,MCN,Toyota,0,DNF,0
