Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Michael Schumacher,MSC,Ferrari,60,1:31:45.015,10
2,2,Rubens Barrichello,BAR,Ferrari,60,+14.578s,6
3,6,Juan Pablo Montoya,MOY,Williams BMW,60,+31.661s,4
4,11,Jacques Villeneuve,VIL,BAR Honda,59,+1 lap,3
5,12,Olivier Panis,PAN,BAR Honda,59,+1 lap,2
6,7,Nick Heidfeld,HEI,Sauber Petronas,59,+1 lap,1
7,9,Giancarlo Fisichella,FIS,Jordan Honda,59,+1 lap,0
8,5,Ralf Schumacher,RSC,Williams BMW,59,+1 lap,0
9,8,Felipe Massa,MAS,Sauber Petronas,59,+1 lap,0
10,3,David Coulthard,COU,McLaren Mercedes,58,+2 laps,0
11,17,Pedro de la Rosa,DLR,Jaguar Cosworth,58,+2 laps,0
12,15,Jenson Button,BUT,Renault,54,DNF,0
NC,10,Takuma Sato,SAT,Jordan Honda,50,DNF,0
NC,4,Kimi Räikkönen,RAI,McLaren Mercedes,44,DNF,0
NC,14,Jarno Trulli,TRU,Renault,29,DNF,0
NC,21,Enrique Bernoldi,BER,Arrows Cosworth,28,DNF,0
NC,16,Eddie Irvine,IRV,Jaguar Cosworth,23,DNF,0
NC,20,Heinz-Harald Frentzen,FRE,Arrows Cosworth,20,DNF,0
NC,24,Mika Salo,SAL,Toyota,15,DNF,0
NC,23,Mark Webber,WEB,Minardi Asiatech,9,DNF,0
NC,25,Allan McNish,MCN,Toyota,0,DNF,0
