Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,17,Johnny Herbert,HER,Stewart Ford,66,1:41:54.314,10
2,19,Jarno Trulli,TRU,Prost Peugeot,66,+22.618s,6
3,16,Rubens Barrichello,BAR,Stewart Ford,66,+22.865s,4
4,6,Ralf Schumacher,RSC,Williams Supertec,66,+39.507s,3
5,1,Mika Hakkinen,HAK,McLaren Mercedes,66,+62.950s,2
6,21,Marc Gene,GEN,Minardi Ford,66,+65.154s,1
7,4,Eddie Irvine,IRV,Ferrari,66,+66.683s,0
8,23,Ricardo Zonta,ZON,BAR Supertec,65,+1 lap,0
9,18,Olivier Panis,PAN,Prost Peugeot,65,+1 lap,0
10,22,Jacques Villeneuve,VIL,BAR Supertec,61,DNF,0
NC,20,Luca Badoer,BAD,Minardi Ford,53,DNF,0
NC,14,Pedro de la Rosa,DLR,Arrows,52,DNF,0
NC,9,Giancarlo Fisichella,FIS,Benetton Playlife,48,DNF,0
NC,3,Mika Salo,SAL,Ferrari,44,DNF,0
NC,15,Toranosuke Takagi,TAK,Arrows,42,DNF,0
NC,2,David Coulthard,COU,McLaren Mercedes,37,DNF,0
NC,11,Jean Alesi,ALE,Sauber Petronas,35,DNF,0
NC,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,32,DNF,0
NC,5,Alessandro Zanardi,ZAN,Williams Supertec,10,DNF,0
NC,7,Damon Hill,HIL,Jordan Mugen Honda,0,DNF,0
NC,10,Alexander Wurz,WUR,Benetton Playlife,0,DNF,0
NC,12,Pedro Diniz,DIN,Sauber Petronas,0,DNF,0
