Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,4,Eddie Irvine,IRV,Ferrari,71,1:28:12.438,10
2,2,David Coulthard,COU,McLaren Mercedes,71,+0.313s,6
3,1,Mika Hakkinen,HAK,McLaren Mercedes,71,+22.282s,4
4,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,71,+52.803s,3
5,10,Alexander Wurz,WUR,Benetton Playlife,71,+66.358s,2
6,12,Pedro Diniz,DIN,Sauber Petronas,71,+70.933s,1
7,19,Jarno Trulli,TRU,Prost Peugeot,70,+1 lap,0
8,7,Damon Hill,HIL,Jordan Mugen Honda,70,+1 lap,0
9,3,Mika Salo,SAL,Ferrari,70,+1 lap,0
10,18,Olivier Panis,PAN,Prost Peugeot,70,+1 lap,0
11,21,Marc Gene,GEN,Minardi Ford,70,+1 lap,0
12,9,Giancarlo Fisichella,FIS,Benetton Playlife,68,DNF,0
13,20,Luca Badoer,BAD,Minardi Ford,68,+3 laps,0
14,17,Johnny Herbert,HER,Stewart Ford,67,+4 laps,0
15,23,Ricardo Zonta,ZON,BAR Supertec,63,DNF,0
NC,16,Rubens Barrichello,BAR,Stewart Ford,55,DNF,0
NC,11,Jean Alesi,ALE,Sauber Petronas,49,DNF,0
NC,14,Pedro de la Rosa,DLR,Arrows,38,DNF,0
NC,5,Alessandro Zanardi,ZAN,Williams Supertec,35,DNF,0
NC,22,Jacques Villeneuve,VIL,BAR Supertec,34,DNF,0
NC,15,Toranosuke Takagi,TAK,Arrows,25,DNF,0
NC,6,Ralf Schumacher,RSC,Williams Supertec,8,DNF,0
