Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,5,Damon Hill,HIL,Williams Renault,45,1:21:43.417,10
2,3,Jean Alesi,ALE,Benetton Renault,45,+11.452s,6
3,6,Jacques Villeneuve,VIL,Williams Renault,45,+33.926s,4
4,1,Michael Schumacher,MSC,Ferrari,45,+41.517s,3
5,8,David Coulthard,COU,McLaren Mercedes,45,+42.196s,2
6,11,Rubens Barrichello,BAR,Jordan Peugeot,45,+102.099s,1
7,9,Olivier Panis,PAN,Ligier Mugen Honda,45,+103.912s,0
8,15,Heinz-Harald Frentzen,FRE,Sauber Ford,44,+1 lap,0
9,19,Mika Salo,SAL,Tyrrell Yamaha,44,+1 lap,0
10,12,Martin Brundle,BRU,Jordan Peugeot,44,+1 lap,0
11,16,Ricardo Rosset,ROS,Footwork Hart,44,+1 lap,0
12,20,Pedro Lamy,LAM,Minardi Ford,43,+2 laps,0
13,4,Gerhard Berger,BER,Benetton Renault,42,DNF,0
NC,2,Eddie Irvine,IRV,Ferrari,34,DNF,0
NC,14,Johnny Herbert,HER,Sauber Ford,25,DNF,0
NC,10,Pedro Diniz,DIN,Ligier Mugen Honda,19,DNF,0
NC,18,Ukyo Katayama,KAT,Tyrrell Yamaha,19,DNF,0
NC,7,Mika Hakkinen,HAK,McLaren Mercedes,13,DNF,0
NC,17,Jos Verstappen,VER,Footwork Hart,0,DNF,0
