Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
south-africa,01 Jan 1968,Jim Clark,CLA,Lotus Ford,80,1:53:56.600
spain,12 May 1968,Graham Hill,HIL,Lotus Ford,90,2:15:20.100
monaco,26 May 1968,Graham Hill,HIL,Lotus Ford,80,2:00:32.300
belgium,09 Jun 1968,Bruce McLaren,MCL,McLaren Ford,28,1:40:02.100
netherlands,23 Jun 1968,Jackie Stewart,STE,Matra Ford,90,2:46:11.260
france,07 Jul 1968,Jacky Ickx,ICK,Ferrari,60,2:25:40.900
great-britain,20 Jul 1968,Jo Siffert,SIF,Lotus Ford,80,2:01:20.300
germany,04 Aug 1968,Jackie Stewart,STE,Matra Ford,14,2:19:03.200
italy,08 Sep 1968,Denny Hulme,HUL,McLaren Ford,68,1:40:14.800
canada,22 Sep 1968,Denny Hulme,HUL,McLaren Ford,90,2:27:11.200
united-states,06 Oct 1968,Jackie Stewart,STE,Matra Ford,108,1:59:20.290
mexico,03 Nov 1968,Graham Hill,HIL,Lotus Ford,65,1:56:43.950
