Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,8,Jackie Stewart,STE,Matra Ford,90,2:46:11.260,9
2,17,Jean-Pierre Beltoise,BEL,Matra,90,+93.930s,6
3,15,Pedro Rodriguez,ROD,BRM,89,+1 lap,4
4,10,Jacky Ickx,ICK,Ferrari,88,+2 laps,3
5,22,Silvio Moser,MOS,Brabham Repco,87,+3 laps,2
6,9,Chris Amon,AMO,Ferrari,85,+5 laps,1
7,16,Richard Attwood,ATT,BRM,85,+5 laps,0
8,19,Jo Bonnier,BON,Mclaren BRM,82,+8 laps,0
9,3,Graham Hill,HIL,Lotus Ford,81,DNF,0
NC,4,Jackie Oliver,OLI,Lotus Ford,80,+10 laps,0
NC,18,Dan Gurney,GUR,Brabham Repco,63,DNF,0
NC,21,Jo Siffert,SIF,Lotus Ford,55,DNF,0
NC,7,John Surtees,SUR,Honda,50,DNF,0
NC,20,Piers Courage,COU,BRM,50,DNF,0
NC,6,Jochen Rindt,RIN,Brabham Repco,39,DNF,0
NC,5,Jack Brabham,BRA,Brabham Repco,22,DNF,0
NC,2,Bruce McLaren,MCL,McLaren Ford,19,DNF,0
NC,1,Denny Hulme,HUL,McLaren Ford,10,DNF,0
NC,14,Lucien Bianchi,BIA,Cooper BRM,9,DNF,0
