Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Honda,1:39.264
2,12,Ayrton Senna,SEN,Lotus Honda,1:40.607
3,6,Nelson Piquet,PIQ,Williams Honda,1:40.942
4,20,Thierry Boutsen,BOU,Benetton Ford,1:42.050
5,1,Alain Prost,PRO,McLaren TAG,1:42.357
6,18,Eddie Cheever,CHE,Arrows Megatron,1:42.361
7,27,Michele Alboreto,ALB,Ferrari,1:42.684
8,19,Teo Fabi,FAB,Benetton Ford,1:42.918
9,7,Riccardo Patrese,PAT,Brabham BMW,1:43.479
10,17,Derek Warwick,WAR,Arrows Megatron,1:43.541
11,2,Stefan Johansson,JOH,McLaren TAG,1:43.797
12,28,Gerhard Berger,BER,Ferrari,1:43.816
13,3,Jonathan Palmer,PAL,Tyrrell Ford,1:44.350
14,4,Philippe Streiff,STR,Tyrrell Ford,1:45.037
15,9,Martin Brundle,BRU,Zakspeed,1:45.291
16,10,Christian Danner,DAN,Zakspeed,1:45.740
17,8,Andrea de Cesaris,DEC,Brabham BMW,1:46.046
18,24,Alessandro Nannini,NAN,Minardi Motori Moderni,1:46.083
19,21,Alex Caffi,CAF,Osella Alfa Romeo,1:46.124
20,30,Philippe Alliot,ALL,Lola Ford,1:46.194
21,25,Rene Arnoux,ARN,Ligier Megatron,1:46.211
22,16,Ivan Capelli,CAP,March Ford,1:46.269
23,26,Piercarlo Ghinzani,GHI,Ligier Megatron,1:47.471
24,11,Satoru Nakajima,NAK,Lotus Honda,1:48.801
25,23,Adrian Campos,CAM,Minardi Motori Moderni,1:50.495
26,14,Pascal Fabre,FAB,AGS Ford,1:53.644
