Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Honda,1:52.026
2,6,Nelson Piquet,PIQ,Williams Honda,1:53.416
3,12,Ayrton Senna,SEN,Lotus Honda,1:53.426
4,28,Gerhard Berger,BER,Ferrari,1:53.451
5,27,Michele Alboreto,ALB,Ferrari,1:53.511
6,1,Alain Prost,PRO,McLaren TAG,1:54.186
7,20,Thierry Boutsen,BOU,Benetton Ford,1:54.300
8,7,Riccardo Patrese,PAT,Brabham BMW,1:55.064
9,19,Teo Fabi,FAB,Benetton Ford,1:55.339
10,2,Stefan Johansson,JOH,McLaren TAG,1:55.781
11,18,Eddie Cheever,CHE,Arrows Megatron,1:55.899
12,17,Derek Warwick,WAR,Arrows Megatron,1:56.359
13,8,Andrea de Cesaris,DEC,Brabham BMW,1:57.101
14,24,Alessandro Nannini,NAN,Minardi Motori Moderni,1:58.132
15,11,Satoru Nakajima,NAK,Lotus Honda,1:58.649
16,25,Rene Arnoux,ARN,Ligier Megatron,1:59.117
17,26,Piercarlo Ghinzani,GHI,Ligier Megatron,1:59.291
18,9,Martin Brundle,BRU,Zakspeed,2:00.433
19,23,Adrian Campos,CAM,Minardi Motori Moderni,2:00.763
20,10,Christian Danner,DAN,Zakspeed,2:01.072
21,16,Ivan Capelli,CAP,March Ford,2:02.036
22,30,Philippe Alliot,ALL,Lola Ford,2:02.347
23,4,Philippe Streiff,STR,Tyrrell Ford,2:03.098
24,3,Jonathan Palmer,PAL,Tyrrell Ford,2:04.677
25,14,Pascal Fabre,FAB,AGS Ford,2:07.361
26,21,Alex Caffi,CAF,Osella Alfa Romeo,2:12.086
