Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,5,Nigel Mansell,MAN,Williams Honda,1:28.047
2,28,Gerhard Berger,BER,Ferrari,1:28.549
3,6,Nelson Piquet,PIQ,Williams Honda,1:29.724
4,1,Alain Prost,PRO,McLaren TAG,1:30.156
5,27,Michele Alboreto,ALB,Ferrari,1:30.310
6,12,Ayrton Senna,SEN,Lotus Honda,1:30.387
7,20,Thierry Boutsen,BOU,Benetton Ford,1:30.748
8,2,Stefan Johansson,JOH,McLaren TAG,1:31.228
9,17,Derek Warwick,WAR,Arrows Megatron,1:31.416
10,7,Riccardo Patrese,PAT,Brabham BMW,1:31.586
11,18,Eddie Cheever,CHE,Arrows Megatron,1:32.336
12,19,Teo Fabi,FAB,Benetton Ford,1:32.452
13,8,Andrea de Cesaris,DEC,Brabham BMW,1:32.628
14,4,Philippe Streiff,STR,Tyrrell Ford,1:33.644
15,30,Philippe Alliot,ALL,Lola Ford,1:33.777
16,3,Jonathan Palmer,PAL,Tyrrell Ford,1:33.895
17,11,Satoru Nakajima,NAK,Lotus Honda,1:34.297
18,16,Ivan Capelli,CAP,March Ford,1:34.426
19,25,Rene Arnoux,ARN,Ligier Megatron,1:34.518
20,24,Alessandro Nannini,NAN,Minardi Motori Moderni,1:34.770
21,21,Alex Caffi,CAF,Osella Alfa Romeo,1:35.594
22,9,Martin Brundle,BRU,Zakspeed,1:35.754
23,10,Christian Danner,DAN,Zakspeed,1:35.930
24,23,Adrian Campos,CAM,Minardi Motori Moderni,1:36.067
25,26,Piercarlo Ghinzani,GHI,Ligier Megatron,1:36.109
26,14,Pascal Fabre,FAB,AGS Ford,1:37.730
