Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
south-africa,06 Mar 1971,Mario Andretti,AND,Ferrari,79,1:47:35.500
spain,18 Apr 1971,Jackie Stewart,STE,Tyrrell Ford,75,1:49:03.400
monaco,23 May 1971,Jackie Stewart,STE,Tyrrell Ford,80,1:52:21.300
netherlands,20 Jun 1971,Jacky Ickx,ICK,Ferrari,70,1:56:20.090
france,04 Jul 1971,Jackie Stewart,STE,Tyrrell Ford,55,1:46:41.680
great-britain,17 Jul 1971,Jackie Stewart,STE,Tyrrell Ford,68,1:31:31.500
germany,01 Aug 1971,Jackie Stewart,STE,Tyrrell Ford,12,1:29:15.700
austria,15 Aug 1971,Jo Siffert,SIF,BRM,54,1:30:23.910
italy,05 Sep 1971,Peter Gethin,GET,BRM,55,1:18:12.600
canada,19 Sep 1971,Jackie Stewart,STE,Tyrrell Ford,64,1:55:12.900
united-states,03 Oct 1971,Francois Cevert,CEV,Tyrrell Ford,59,1:43:51.991
