Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:42.323,1:42.014,1:41.252,15
2,77,Valtteri Bottas,BOT,Mercedes,1:42.534,1:42.126,1:41.763,17
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:43.197,1:42.473,1:41.778,17
4,3,Daniel Ricciardo,RIC,Renault,1:43.309,1:42.487,1:42.061,11
5,23,Alexander Albon,ALB,Red Bull Racing Honda,1:43.418,1:42.193,1:42.264,15
6,31,Esteban Ocon,OCO,Renault,1:43.505,1:42.534,1:42.396,15
7,55,Carlos Sainz,SAI,McLaren Renault,1:43.322,1:42.478,1:42.438,15
8,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:43.349,1:42.670,1:42.532,15
9,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:43.265,1:42.491,1:42.603,15
10,4,Lando Norris,NOR,McLaren Renault,1:43.514,1:42.722,1:42.657,17
11,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:43.267,1:42.730,DNQ,12
12,10,Pierre Gasly,GAS,AlphaTauri Honda,1:43.262,1:42.745,DNQ,12
13,16,Charles Leclerc,LEC,Ferrari,1:43.656,1:42.996,DNQ,12
14,5,Sebastian Vettel,VET,Ferrari,1:43.567,1:43.261,DNQ,12
15,63,George Russell,RUS,Williams Mercedes,1:43.630,1:43.468,DNQ,11
16,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:43.743,DNQ,DNQ,6
17,8,Romain Grosjean,GRO,Haas Ferrari,1:43.838,DNQ,DNQ,6
18,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:43.950,DNQ,DNQ,6
19,6,Nicholas Latifi,LAT,Williams Mercedes,1:44.138,DNQ,DNQ,6
20,20,Kevin Magnussen,MAG,Haas Ferrari,1:44.314,DNQ,DNQ,8
