Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,18,Lance Stroll,STR,Racing Point BWT Mercedes,2:07.467,1:53.372,1:47.765,22
2,33,Max Verstappen,VER,Red Bull Racing Honda,1:57.485,1:50.293,1:48.055,26
3,11,Sergio Perez,PER,Racing Point BWT Mercedes,2:07.614,1:54.097,1:49.321,21
4,23,Alexander Albon,ALB,Red Bull Racing Honda,1:59.431,1:52.282,1:50.448,26
5,3,Daniel Ricciardo,RIC,Renault,2:05.598,1:54.278,1:51.595,26
6,44,Lewis Hamilton,HAM,Mercedes,2:07.599,1:52.709,1:52.560,23
7,31,Esteban Ocon,OCO,Renault,2:06.115,1:53.657,1:52.622,26
8,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,2:01.249,1:53.793,1:52.745,27
9,77,Valtteri Bottas,BOT,Mercedes,2:07.001,1:53.767,1:53.258,23
10,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,2:07.341,1:53.431,1:57.226,26
11,4,Lando Norris,NOR,McLaren Renault,2:07.167,1:54.945,DNQ,18
12,5,Sebastian Vettel,VET,Ferrari,2:03.356,1:55.169,DNQ,18
13,55,Carlos Sainz,SAI,McLaren Renault,2:07.489,1:55.410,DNQ,18
14,16,Charles Leclerc,LEC,Ferrari,2:04.464,1:56.696,DNQ,18
15,10,Pierre Gasly,GAS,AlphaTauri Honda,2:05.579,1:58.556,DNQ,17
16,20,Kevin Magnussen,MAG,Haas Ferrari,2:08.007,DNQ,DNQ,10
17,26,Daniil Kvyat,KVY,AlphaTauri Honda,2:09.070,DNQ,DNQ,8
18,63,George Russell,RUS,Williams Mercedes,2:10.017,DNQ,DNQ,9
19,8,Romain Grosjean,GRO,Haas Ferrari,2:12.909,DNQ,DNQ,7
20,6,Nicholas Latifi,LAT,Williams Mercedes,2:21.611,DNQ,DNQ,9
