Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:04.111,1:03.015,1:02.939,19
2,44,Lewis Hamilton,HAM,Mercedes,1:04.198,1:03.096,1:02.951,21
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:04.024,1:04.000,1:03.477,23
4,4,Lando Norris,NOR,McLaren Renault,1:04.606,1:03.819,1:03.626,17
5,23,Alexander Albon,ALB,Red Bull Racing Honda,1:04.661,1:03.746,1:03.868,18
6,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:04.543,1:03.860,1:03.868,19
7,16,Charles Leclerc,LEC,Ferrari,1:04.500,1:04.041,1:03.923,20
8,55,Carlos Sainz,SAI,McLaren Renault,1:04.537,1:03.971,1:03.971,18
9,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:04.309,1:03.955,1:04.029,17
10,3,Daniel Ricciardo,RIC,Renault,1:04.556,1:04.023,1:04.239,15
11,5,Sebastian Vettel,VET,Ferrari,1:04.554,1:04.206,DNQ,13
12,10,Pierre Gasly,GAS,AlphaTauri Honda,1:04.603,1:04.305,DNQ,14
13,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:05.031,1:04.431,DNQ,14
14,31,Esteban Ocon,OCO,Renault,1:04.933,1:04.643,DNQ,12
15,8,Romain Grosjean,GRO,Haas Ferrari,1:05.094,1:04.691,DNQ,14
16,20,Kevin Magnussen,MAG,Haas Ferrari,1:05.164,DNQ,DNQ,8
17,63,George Russell,RUS,Williams Mercedes,1:05.167,DNQ,DNQ,10
18,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:05.175,DNQ,DNQ,8
19,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:05.224,DNQ,DNQ,9
20,6,Nicholas Latifi,LAT,Williams Mercedes,1:05.757,DNQ,DNQ,12
