Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:18.188,1:17.825,1:19.273,34
2,33,Max Verstappen,VER,Red Bull Racing Honda,1:18.297,1:17.938,1:20.489,34
3,55,Carlos Sainz,SAI,McLaren Renault,1:18.590,1:18.836,1:20.671,33
4,77,Valtteri Bottas,BOT,Mercedes,1:18.791,1:18.657,1:20.701,34
5,31,Esteban Ocon,OCO,Renault,1:19.687,1:18.764,1:20.922,33
6,4,Lando Norris,NOR,McLaren Renault,1:18.504,1:18.448,1:20.925,34
7,23,Alexander Albon,ALB,Red Bull Racing Honda,1:20.882,1:19.014,1:21.011,31
8,10,Pierre Gasly,GAS,AlphaTauri Honda,1:20.192,1:18.744,1:21.028,33
9,3,Daniel Ricciardo,RIC,Renault,1:19.662,1:19.229,1:21.192,32
10,5,Sebastian Vettel,VET,Ferrari,1:20.243,1:19.545,1:21.651,33
11,16,Charles Leclerc,LEC,Ferrari,1:20.871,1:19.628,DNQ,24
12,63,George Russell,RUS,Williams Mercedes,1:20.382,1:19.636,DNQ,22
13,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:19.697,1:19.645,DNQ,23
14,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:19.824,1:19.717,DNQ,24
15,20,Kevin Magnussen,MAG,Haas Ferrari,1:21.140,1:20.211,DNQ,22
16,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:21.372,DNQ,DNQ,12
17,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:21.607,DNQ,DNQ,12
18,6,Nicholas Latifi,LAT,Williams Mercedes,1:21.759,DNQ,DNQ,12
19,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:21.831,DNQ,DNQ,12
20,8,Romain Grosjean,GRO,Haas Ferrari,DNS,DNQ,DNQ,1
