Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:28.343,1:27.586,1:27.264,16
2,77,Valtteri Bottas,BOT,Mercedes,1:28.767,1:28.063,1:27.553,16
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:28.885,1:28.025,1:27.678,15
4,23,Alexander Albon,ALB,Red Bull Racing Honda,1:28.732,1:28.749,1:28.274,18
5,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:29.178,1:28.894,1:28.322,20
6,3,Daniel Ricciardo,RIC,Renault,1:29.005,1:28.648,1:28.417,17
7,31,Esteban Ocon,OCO,Renault,1:29.203,1:28.937,1:28.419,14
8,10,Pierre Gasly,GAS,AlphaTauri Honda,1:28.971,1:29.008,1:28.448,14
9,4,Lando Norris,NOR,McLaren Renault,1:29.464,1:28.877,1:28.542,17
10,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:29.158,1:28.944,1:28.618,17
11,5,Sebastian Vettel,VET,Ferrari,1:29.142,1:29.149,DNQ,11
12,16,Charles Leclerc,LEC,Ferrari,1:29.137,1:29.165,DNQ,11
13,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:28.679,1:29.557,DNQ,11
14,63,George Russell,RUS,Williams Mercedes,1:29.294,1:31.218,DNQ,11
15,55,Carlos Sainz,SAI,McLaren Renault,1:28.975,DNF,DNQ,5
16,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:29.491,DNQ,DNQ,6
17,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:29.810,DNQ,DNQ,6
18,20,Kevin Magnussen,MAG,Haas Ferrari,1:30.111,DNQ,DNQ,6
19,8,Romain Grosjean,GRO,Haas Ferrari,1:30.138,DNQ,DNQ,6
20,6,Nicholas Latifi,LAT,Williams Mercedes,1:30.182,DNQ,DNQ,6
