Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:16.828,1:16.824,1:16.652,21
2,77,Valtteri Bottas,BOT,Mercedes,1:16.945,1:16.466,1:16.754,17
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:16.879,1:17.038,1:16.904,23
4,16,Charles Leclerc,LEC,Ferrari,1:17.421,1:17.367,1:17.090,23
5,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:17.370,1:17.129,1:17.223,21
6,23,Alexander Albon,ALB,Red Bull Racing Honda,1:17.435,1:17.411,1:17.437,29
7,55,Carlos Sainz,SAI,McLaren Renault,1:17.627,1:17.183,1:17.520,24
8,4,Lando Norris,NOR,McLaren Renault,1:17.547,1:17.321,1:17.525,24
9,10,Pierre Gasly,GAS,AlphaTauri Honda,1:17.209,1:17.367,1:17.803,26
10,3,Daniel Ricciardo,RIC,Renault,1:17.621,1:17.481,DNQ,17
11,31,Esteban Ocon,OCO,Renault,1:17.775,1:17.614,DNQ,18
12,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:17.667,1:17.626,DNQ,22
13,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:17.841,1:17.728,DNQ,22
14,63,George Russell,RUS,Williams Mercedes,1:17.931,1:17.788,DNQ,17
15,5,Sebastian Vettel,VET,Ferrari,1:17.446,1:17.919,DNQ,20
16,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:18.201,DNQ,DNQ,12
17,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:18.323,DNQ,DNQ,12
18,8,Romain Grosjean,GRO,Haas Ferrari,1:18.364,DNQ,DNQ,12
19,20,Kevin Magnussen,MAG,Haas Ferrari,1:18.508,DNQ,DNQ,10
20,6,Nicholas Latifi,LAT,Williams Mercedes,1:18.777,DNQ,DNQ,11
