Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:16.872,1:16.013,1:15.584,15
2,77,Valtteri Bottas,BOT,Mercedes,1:17.243,1:16.152,1:15.643,15
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:17.213,1:16.518,1:16.292,15
4,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:17.117,1:16.936,1:16.482,15
5,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:17.316,1:16.666,1:16.589,15
6,23,Alexander Albon,ALB,Red Bull Racing Honda,1:17.419,1:17.163,1:17.029,18
7,55,Carlos Sainz,SAI,McLaren Renault,1:17.438,1:16.876,1:17.044,17
8,4,Lando Norris,NOR,McLaren Renault,1:17.577,1:17.166,1:17.084,18
9,16,Charles Leclerc,LEC,Ferrari,1:17.256,1:16.953,1:17.087,18
10,10,Pierre Gasly,GAS,AlphaTauri Honda,1:17.356,1:16.800,1:17.136,18
11,5,Sebastian Vettel,VET,Ferrari,1:17.573,1:17.168,DNQ,12
12,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:17.676,1:17.192,DNQ,12
13,3,Daniel Ricciardo,RIC,Renault,1:17.667,1:17.198,DNQ,12
14,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:17.797,1:17.386,DNQ,12
15,31,Esteban Ocon,OCO,Renault,1:17.765,1:17.567,DNQ,12
16,20,Kevin Magnussen,MAG,Haas Ferrari,1:17.908,DNQ,DNQ,6
17,8,Romain Grosjean,GRO,Haas Ferrari,1:18.089,DNQ,DNQ,6
18,63,George Russell,RUS,Williams Mercedes,1:18.099,DNQ,DNQ,9
19,6,Nicholas Latifi,LAT,Williams Mercedes,1:18.532,DNQ,DNQ,9
20,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:18.697,DNQ,DNQ,6
