Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,33,Max Verstappen,VER,Red Bull Racing Honda,1:35.993,1:35.641,1:35.246,19
2,77,Valtteri Bottas,BOT,Mercedes,1:35.699,1:35.527,1:35.271,18
3,44,Lewis Hamilton,HAM,Mercedes,1:35.528,1:35.466,1:35.332,20
4,4,Lando Norris,NOR,McLaren Renault,1:36.016,1:35.849,1:35.497,17
5,23,Alexander Albon,ALB,Red Bull Racing Honda,1:36.106,1:35.654,1:35.571,15
6,55,Carlos Sainz,SAI,McLaren Renault,1:36.517,1:36.192,1:35.815,14
7,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:36.459,1:36.214,1:35.963,20
8,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:36.502,1:36.143,1:36.046,15
9,16,Charles Leclerc,LEC,Ferrari,1:35.881,1:35.932,1:36.065,20
10,10,Pierre Gasly,GAS,AlphaTauri Honda,1:36.545,1:36.282,1:36.242,20
11,31,Esteban Ocon,OCO,Renault,1:36.783,1:36.359,DNQ,12
12,3,Daniel Ricciardo,RIC,Renault,1:36.704,1:36.406,DNQ,9
13,5,Sebastian Vettel,VET,Ferrari,1:36.655,1:36.631,DNQ,12
14,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:37.075,1:38.248,DNQ,12
15,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:36.034,DNS,DNQ,4
16,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:37.555,DNQ,DNQ,6
17,20,Kevin Magnussen,MAG,Haas Ferrari,1:37.863,DNQ,DNQ,9
18,63,George Russell,RUS,Williams Mercedes,1:38.045,DNQ,DNQ,8
19,51,Pietro Fittipaldi,FIT,Haas Ferrari,1:38.173,DNQ,DNQ,9
20,6,Nicholas Latifi,LAT,Williams Mercedes,1:38.443,DNQ,DNQ,7
