Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,26,Jacques Laffite,LAF,Ligier Matra,53,1:27:36.470,9
2,16,Rene Arnoux,ARN,Renault,53,+5.170s,6
3,5,Nelson Piquet,PIQ,Brabham Ford,53,+7.340s,4
4,1,Alan Jones,JON,Williams Ford,53,+12.040s,3
5,2,Carlos Reutemann,REU,Williams Ford,53,+31.850s,2
6,7,John Watson,WAT,McLaren Ford,53,+91.140s,1
7,11,Elio de Angelis,DEA,Lotus Ford,52,+1 lap,0
8,8,Andrea de Cesaris,DEC,McLaren Ford,52,+1 lap,0
9,28,Didier Pironi,PIR,Ferrari,52,+1 lap,0
10,32,Jean-Pierre Jarier,JAR,Osella Hart,51,+2 laps,0
11,17,Derek Daly,DAL,March Ford,47,+6 laps,0
NC,22,Mario Andretti,AND,Alfa Romeo,46,DNF,0
NC,10,Slim Borgudd,BOR,ATS Ford,44,DNF,0
NC,29,Riccardo Patrese,PAT,Arrows Ford,43,DNF,0
NC,14,Eliseo Salazar,SAL,Ensign Ford,43,DNF,0
NC,4,Michele Alboreto,ALB,Tyrrell Ford,40,DNF,0
NC,23,Bruno Giacomelli,GIA,Alfa Romeo,35,DNF,0
NC,6,Hector Rebaque,REB,Brabham Ford,31,DNF,0
NC,30,Siegfried Stohr,STO,Arrows Ford,27,DNF,0
NC,15,Alain Prost,PRO,Renault,26,DNF,0
NC,25,Patrick Tambay,TAM,Ligier Matra,26,DNF,0
NC,12,Nigel Mansell,MAN,Lotus Ford,23,DNF,0
NC,27,Gilles Villeneuve,VIL,Ferrari,11,DNF,0
NC,33,Marc Surer,SUR,Theodore Ford,0,DNF,0
