Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
australia,27 Mar 2011,Sebastian Vettel,VET,Red Bull Racing Renault,58,1:29:30.259
malaysia,10 Apr 2011,Sebastian Vettel,VET,Red Bull Racing Renault,56,1:37:39.832
china,17 Apr 2011,Lewis Hamilton,HAM,McLaren Mercedes,56,1:36:58.226
turkey,08 May 2011,Sebastian Vettel,VET,Red Bull Racing Renault,58,1:30:17.558
spain,22 May 2011,Sebastian Vettel,VET,Red Bull Racing Renault,66,1:39:03.301
monaco,29 May 2011,Sebastian Vettel,VET,Red Bull Racing Renault,78,2:09:38.373
canada,12 Jun 2011,Jenson Button,BUT,McLaren Mercedes,70,4:04:39.537
europe,26 Jun 2011,Sebastian Vettel,VET,Red Bull Racing Renault,57,1:39:36.169
great-britain,10 Jul 2011,Fernando Alonso,ALO,Ferrari,52,1:28:41.196
germany,24 Jul 2011,Lewis Hamilton,HAM,McLaren Mercedes,60,1:37:30.334
hungary,31 Jul 2011,Jenson Button,BUT,McLaren Mercedes,70,1:46:42.337
belgium,28 Aug 2011,Sebastian Vettel,VET,Red Bull Racing Renault,44,1:26:44.893
italy,11 Sep 2011,Sebastian Vettel,VET,Red Bull Racing Renault,53,1:20:46.172
singapore,25 Sep 2011,Sebastian Vettel,VET,Red Bull Racing Renault,61,1:59:06.757
japan,09 Oct 2011,Jenson Button,BUT,McLaren Mercedes,53,1:30:53.427
south-korea,16 Oct 2011,Sebastian Vettel,VET,Red Bull Racing Renault,55,1:38:01.994
india,30 Oct 2011,Sebastian Vettel,VET,Red Bull Racing Renault,60,1:30:35.002
abu-dhabi,13 Nov 2011,Lewis Hamilton,HAM,McLaren Mercedes,55,1:37:11.886
brazil,27 Nov 2011,Mark Webber,WEB,Red Bull Racing Renault,71,1:32:17.464
