Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
united-states,10 Mar 1991,Ayrton Senna,SEN,McLaren Honda,81,2:00:47.828
brazil,24 Mar 1991,Ayrton Senna,SEN,McLaren Honda,71,1:38:28.128
san-marino,28 Apr 1991,Ayrton Senna,SEN,McLaren Honda,61,1:35:14.750
monaco,12 May 1991,Ayrton Senna,SEN,McLaren Honda,78,1:53:02.334
canada,02 Jun 1991,Nelson Piquet,PIQ,Benetton Ford,69,1:38:51.490
mexico,16 Jun 1991,Riccardo Patrese,PAT,Williams Renault,67,1:29:52.205
france,07 Jul 1991,Nigel Mansell,MAN,Williams Renault,72,1:38:00.056
great-britain,14 Jul 1991,Nigel Mansell,MAN,Williams Renault,59,1:27:35.479
germany,28 Jul 1991,Nigel Mansell,MAN,Williams Renault,45,1:19:29.661
hungary,11 Aug 1991,Ayrton Senna,SEN,McLaren Honda,77,1:49:12.796
belgium,25 Aug 1991,Ayrton Senna,SEN,McLaren Honda,44,1:27:17.669
italy,08 Sep 1991,Nigel Mansell,MAN,Williams Renault,53,1:17:54.319
portugal,22 Sep 1991,Riccardo Patrese,PAT,Williams Renault,71,1:35:42.304
spain,29 Sep 1991,Nigel Mansell,MAN,Williams Renault,65,1:38:41.541
japan,20 Oct 1991,Gerhard Berger,BER,McLaren Honda,53,1:32:10.695
australia,03 Nov 1991,Ayrton Senna,SEN,McLaren Honda,14,24:34.899
