Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,28,Gerhard Berger,BER,McLaren Honda,1:28.664
2,23,Pierluigi Martini,MAR,Minardi Ford,1:28.731
3,22,Andrea de Cesaris,DEC,Dallara Ford,1:29.019
4,4,Jean Alesi,ALE,Tyrrell Ford,1:29.408
5,27,Ayrton Senna,SEN,McLaren Honda,1:29.431
5,17,Gabriele Tarquini,TAR,AGS Ford,1:35.420
6,20,Nelson Piquet,PIQ,Benetton Ford,1:29.862
6,18,Yannick Dalmas,DAL,AGS Ford,1:35.481
7,1,Alain Prost,PRO,Ferrari,1:29.910
7,34,Claudio Langes,LAN,Euro Brun Judd,1:37.399
8,14,Olivier Grouillard,GRO,Osella Ford,1:29.947
8,39,Gary Brabham,BRA,Life,2:07.147
9,5,Thierry Boutsen,BOU,Williams Renault,1:30.059
9,31,Bertrand Gachot,GAC,Coloni Subaru,5:15.010
10,8,Stefano Modena,MOD,Brabham Judd,1:30.127
11,3,Satoru Nakajima,NAK,Tyrrell Ford,1:30.130
12,6,Riccardo Patrese,PAT,Williams Renault,1:30.213
13,25,Nicola Larini,LAR,Ligier Ford,1:30.424
14,24,Paolo Barilla,BAR,Minardi Ford,1:31.194
15,29,Eric Bernard,BER,Lola Lamborghini,1:31.226
16,33,Roberto Moreno,MOR,Euro Brun Judd,1:31.247
17,2,Nigel Mansell,MAN,Ferrari,1:31.363
18,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:31.414
19,12,Martin Donnelly,DON,Lotus Lamborghini,1:31.650
20,10,Bernd Schneider,SCH,Arrows Ford,1:31.892
21,9,Michele Alboreto,ALB,Arrows Ford,1:31.948
22,19,Alessandro Nannini,NAN,Benetton Ford,1:31.984
23,7,Gregor Foitek,FOI,Brabham Judd,1:32.398
24,11,Derek Warwick,WAR,Lotus Lamborghini,1:32.400
25,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:32.904
26,16,Ivan Capelli,CAP,Leyton House Judd,1:33.044
27,35,Stefan Johansson,JOH,Onyx Ford,1:33.468
28,21,Gianni Morbidelli,MOR,Dallara Ford,1:34.292
