Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,27,Ayrton Senna,SEN,McLaren Honda,1:36.996
2,1,Alain Prost,PRO,Ferrari,1:37.228
3,2,Nigel Mansell,MAN,Ferrari,1:37.719
4,28,Gerhard Berger,BER,McLaren Honda,1:38.118
5,5,Thierry Boutsen,BOU,Williams Renault,1:39.324
6,20,Nelson Piquet,PIQ,Benetton Ford,1:40.049
7,4,Jean Alesi,ALE,Tyrrell Ford,1:40.052
8,6,Riccardo Patrese,PAT,Williams Renault,1:40.355
9,19,Roberto Moreno,MOR,Benetton Ford,1:40.579
10,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:40.888
11,23,Pierluigi Martini,MAR,Minardi Ford,1:40.899
12,11,Derek Warwick,WAR,Lotus Lamborghini,1:41.024
13,16,Ivan Capelli,CAP,Leyton House Judd,1:41.033
14,3,Satoru Nakajima,NAK,Tyrrell Ford,1:41.078
15,12,Johnny Herbert,HER,Lotus Lamborghini,1:41.558
16,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:41.698
17,29,Eric Bernard,BER,Lola Lamborghini,1:41.709
18,25,Nicola Larini,LAR,Ligier Ford,1:42.339
19,21,Emanuele Pirro,PIR,Dallara Ford,1:42.361
20,24,Gianni Morbidelli,MOR,Minardi Ford,1:42.364
21,26,Philippe Alliot,ALL,Ligier Ford,1:42.593
22,8,Stefano Modena,MOD,Brabham Judd,1:42.617
23,7,David Brabham,BRA,Brabham Judd,1:43.156
24,10,Alex Caffi,CAF,Arrows Ford,1:43.270
25,9,Michele Alboreto,ALB,Arrows Ford,1:43.304
26,22,Andrea de Cesaris,DEC,Dallara Ford,1:43.601
27,14,Olivier Grouillard,GRO,Osella Ford,1:43.782
28,17,Gabriele Tarquini,TAR,AGS Ford,1:44.281
29,18,Yannick Dalmas,DAL,AGS Ford,1:44.410
30,31,Bertrand Gachot,GAC,Coloni Ford,1:45.393
