Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,27,Ayrton Senna,SEN,McLaren Honda,1:17.277
2,28,Gerhard Berger,BER,McLaren Honda,1:17.888
3,5,Thierry Boutsen,BOU,Williams Renault,1:18.150
4,6,Riccardo Patrese,PAT,Williams Renault,1:18.288
5,2,Nigel Mansell,MAN,Ferrari,1:18.509
5,17,Gabriele Tarquini,TAR,AGS Ford,1:24.265
6,1,Alain Prost,PRO,Ferrari,1:18.631
6,33,Roberto Moreno,MOR,Euro Brun Judd,1:25.763
7,4,Jean Alesi,ALE,Tyrrell Ford,1:18.923
7,31,Bertrand Gachot,GAC,Coloni Subaru,1:34.046
8,23,Pierluigi Martini,MAR,Minardi Ford,1:19.039
8,34,Claudio Langes,LAN,Euro Brun Judd,1:39.188
9,22,Andrea de Cesaris,DEC,Dallara Ford,1:19.125
10,26,Philippe Alliot,ALL,Ligier Ford,1:19.309
11,29,Eric Bernard,BER,Lola Lamborghini,1:19.406
12,8,Stefano Modena,MOD,Brabham Judd,1:19.425
13,20,Nelson Piquet,PIQ,Benetton Ford,1:19.629
14,12,Martin Donnelly,DON,Lotus Lamborghini,1:20.032
15,19,Alessandro Nannini,NAN,Benetton Ford,1:20.055
16,21,Gianni Morbidelli,MOR,Dallara Ford,1:20.164
17,24,Paolo Barilla,BAR,Minardi Ford,1:20.282
18,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:20.557
19,3,Satoru Nakajima,NAK,Tyrrell Ford,1:20.568
20,25,Nicola Larini,LAR,Ligier Ford,1:20.650
21,14,Olivier Grouillard,GRO,Osella Ford,1:20.884
22,7,Gregor Foitek,FOI,Brabham Judd,1:20.902
23,9,Michele Alboreto,ALB,Arrows Ford,1:20.920
24,11,Derek Warwick,WAR,Lotus Lamborghini,1:20.998
25,10,Alex Caffi,CAF,Arrows Ford,1:21.065
26,18,Yannick Dalmas,DAL,AGS Ford,1:21.087
27,35,Stefan Johansson,JOH,Onyx Ford,1:21.241
28,36,Jyrki Jarvilehto,JAR,Onyx Ford,1:21.323
29,16,Ivan Capelli,CAP,Leyton House Judd,1:21.383
30,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:21.616
