Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,27,Ayrton Senna,SEN,McLaren Honda,1:18.387
2,1,Alain Prost,PRO,Ferrari,1:18.824
3,2,Nigel Mansell,MAN,Ferrari,1:19.106
4,4,Jean Alesi,ALE,Tyrrell Ford,1:19.604
5,28,Gerhard Berger,BER,McLaren Honda,1:19.618
5,33,Roberto Moreno,MOR,Euro Brun Judd,1:24.621
6,6,Riccardo Patrese,PAT,Williams Renault,1:19.647
6,34,Claudio Langes,LAN,Euro Brun Judd,1:25.736
7,5,Thierry Boutsen,BOU,Williams Renault,1:19.689
7,39,Bruno Giacomelli,GIA,Life Judd,1:42.699
8,20,Nelson Piquet,PIQ,Benetton Ford,1:19.700
9,19,Alessandro Nannini,NAN,Benetton Ford,1:20.367
10,11,Derek Warwick,WAR,Lotus Lamborghini,1:20.610
11,23,Pierluigi Martini,MAR,Minardi Ford,1:21.060
12,15,Mauricio Gugelmin,GUG,Leyton House Judd,1:21.167
13,26,Philippe Alliot,ALL,Ligier Ford,1:21.170
14,3,Satoru Nakajima,NAK,Tyrrell Ford,1:21.215
15,30,Aguri Suzuki,SUZ,Lola Lamborghini,1:21.244
16,21,Emanuele Pirro,PIR,Dallara Ford,1:21.277
17,22,Andrea de Cesaris,DEC,Dallara Ford,1:21.467
18,29,Eric Bernard,BER,Lola Lamborghini,1:21.551
19,16,Ivan Capelli,CAP,Leyton House Judd,1:21.910
20,25,Nicola Larini,LAR,Ligier Ford,1:21.996
21,14,Olivier Grouillard,GRO,Osella Ford,1:22.288
22,17,Gabriele Tarquini,TAR,AGS Ford,1:22.466
23,12,Martin Donnelly,DON,Lotus Lamborghini,1:22.659
24,18,Yannick Dalmas,DAL,AGS Ford,1:22.716
25,8,Stefano Modena,MOD,Brabham Judd,1:23.133
26,9,Michele Alboreto,ALB,Arrows Ford,1:23.161
27,7,David Brabham,BRA,Brabham Judd,1:23.163
28,24,Paolo Barilla,BAR,Minardi Ford,1:23.274
29,10,Bernd Schneider,SCH,Arrows Ford,1:23.924
30,31,Bertrand Gachot,GAC,Coloni Ford,1:25.114
