Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
argentina,15 Jan 1978,Mario Andretti,AND,Lotus Ford,52,1:37:04.470
brazil,29 Jan 1978,Carlos Reutemann,REU,Ferrari,63,1:49:59.860
south-africa,04 Mar 1978,Ronnie Peterson,PET,Lotus Ford,78,1:42:15.767
usa-west,02 Apr 1978,Carlos Reutemann,REU,Ferrari,80,1:52:01.301
monaco,07 May 1978,Patrick Depailler,DEP,Tyrrell Ford,75,1:55:14.660
belgium,21 May 1978,Mario Andretti,AND,Lotus Ford,70,1:39:52.020
spain,04 Jun 1978,Mario Andretti,AND,Lotus Ford,75,1:41:47.060
sweden,17 Jun 1978,Niki Lauda,LAU,Brabham Alfa Romeo,70,1:41:00.606
france,02 Jul 1978,Mario Andretti,AND,Lotus Ford,54,1:38:51.920
great-britain,16 Jul 1978,Carlos Reutemann,REU,Ferrari,76,1:42:12.390
germany,30 Jul 1978,Mario Andretti,AND,Lotus Ford,45,1:28:00.900
austria,13 Aug 1978,Ronnie Peterson,PET,Lotus Ford,54,1:41:21.570
netherlands,27 Aug 1978,Mario Andretti,AND,Lotus Ford,75,1:41:04.230
italy,10 Sep 1978,Niki Lauda,LAU,Brabham Alfa Romeo,40,1:07:04.540
usa-east,01 Oct 1978,Carlos Reutemann,REU,Ferrari,59,1:40:48.800
canada,08 Oct 1978,Gilles Villeneuve,VIL,Ferrari,70,1:57:49.196
