Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
south-africa,14 Mar 1993,Alain Prost,PRO,Williams Renault,72,1:38:45.082
brazil,28 Mar 1993,Ayrton Senna,SEN,McLaren Ford,71,1:51:15.485
europe,11 Apr 1993,Ayrton Senna,SEN,McLaren Ford,76,1:50:46.570
san-marino,25 Apr 1993,Alain Prost,PRO,Williams Renault,61,1:33:20.413
spain,09 May 1993,Alain Prost,PRO,Williams Renault,65,1:32:27.685
monaco,23 May 1993,Ayrton Senna,SEN,McLaren Ford,78,1:52:10.947
canada,13 Jun 1993,Alain Prost,PRO,Williams Renault,69,1:36:41.822
france,04 Jul 1993,Alain Prost,PRO,Williams Renault,72,1:38:35.241
great-britain,11 Jul 1993,Alain Prost,PRO,Williams Renault,59,1:25:38.189
germany,25 Jul 1993,Alain Prost,PRO,Williams Renault,45,1:18:40.885
hungary,15 Aug 1993,Damon Hill,HIL,Williams Renault,77,1:47:39.098
belgium,29 Aug 1993,Damon Hill,HIL,Williams Renault,44,1:24:32.124
italy,12 Sep 1993,Damon Hill,HIL,Williams Renault,53,1:17:07.509
portugal,26 Sep 1993,Michael Schumacher,MSC,Benetton Ford,71,1:32:46.309
japan,24 Oct 1993,Ayrton Senna,SEN,McLaren Ford,53,1:40:27.912
australia,07 Nov 1993,Ayrton Senna,SEN,McLaren Ford,79,1:43:27.476
