Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,Williams Renault,1:15.866
2,0,Damon Hill,HIL,Williams Renault,1:16.859
3,8,Ayrton Senna,SEN,McLaren Ford,1:17.697
4,5,Michael Schumacher,MSC,Benetton Ford,1:17.821
5,7,Michael Andretti,AND,McLaren Ford,1:18.635
6,6,Riccardo Patrese,PAT,Benetton Ford,1:19.049
7,30,Jyrki Jarvilehto,JAR,Sauber,1:19.207
8,29,Karl Wendlinger,WEN,Sauber,1:19.230
9,27,Jean Alesi,ALE,Ferrari,1:19.260
10,26,Mark Blundell,BLU,Ligier Renault,1:19.296
11,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:19.340
12,12,Johnny Herbert,HER,Lotus Ford,1:19.435
13,28,Gerhard Berger,BER,Ferrari,1:19.561
14,14,Rubens Barrichello,BAR,Jordan Hart,1:19.593
15,11,Alessandro Zanardi,ZAN,Lotus Ford,1:19.804
16,25,Martin Brundle,BRU,Ligier Renault,1:19.835
17,20,Erik Comas,COM,Larrousse Lamborghini,1:19.868
18,9,Derek Warwick,WAR,Footwork Mugen Honda,1:20.064
19,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:20.232
20,23,Christian Fittipaldi,FIT,Minardi Ford,1:20.716
21,22,Luca Badoer,BAD,Lola Ferrari,1:20.908
22,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:20.991
23,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:21.224
24,24,Fabrizio Barbazza,BAR,Minardi Ford,1:21.228
25,21,Michele Alboreto,ALB,Lola Ferrari,1:21.488
26,15,Ivan Capelli,CAP,Jordan Hart,1:21.789
