Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,0,Damon Hill,HIL,Williams Renault,1:11.494
2,2,Alain Prost,PRO,Williams Renault,1:11.683
3,7,Mika Hakkinen,HAK,McLaren Ford,1:12.443
4,8,Ayrton Senna,SEN,McLaren Ford,1:12.491
5,27,Jean Alesi,ALE,Ferrari,1:13.101
6,5,Michael Schumacher,MSC,Benetton Ford,1:13.403
7,6,Riccardo Patrese,PAT,Benetton Ford,1:13.863
8,28,Gerhard Berger,BER,Ferrari,1:13.933
9,9,Derek Warwick,WAR,Footwork Mugen Honda,1:14.388
10,26,Mark Blundell,BLU,Ligier Renault,1:14.577
11,25,Martin Brundle,BRU,Ligier Renault,1:14.708
12,30,Jyrki Jarvilehto,JAR,Sauber,1:14.833
13,29,Karl Wendlinger,WEN,Sauber,1:15.016
14,12,Johnny Herbert,HER,Lotus Ford,1:15.183
15,14,Rubens Barrichello,BAR,Jordan Hart,1:15.433
16,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:15.491
17,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:15.904
18,11,Pedro Lamy,LAM,Lotus Ford,1:15.920
19,24,Pierluigi Martini,MAR,Minardi Ford,1:15.942
20,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:16.144
21,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:16.186
22,20,Erik Comas,COM,Larrousse Lamborghini,1:16.417
23,15,Emanuele Naspetti,NAS,Jordan Hart,1:16.566
24,23,Christian Fittipaldi,FIT,Minardi Ford,1:16.651
25,21,Michele Alboreto,ALB,Lola Ferrari,1:17.118
26,22,Luca Badoer,BAD,Lola Ferrari,1:17.739
