Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,Williams Renault,1:17.809
2,0,Damon Hill,HIL,Williams Renault,1:18.346
3,8,Ayrton Senna,SEN,McLaren Ford,1:19.722
4,5,Michael Schumacher,MSC,Benetton Ford,1:20.520
5,6,Riccardo Patrese,PAT,Benetton Ford,1:20.600
6,29,Karl Wendlinger,WEN,Sauber,1:21.203
7,7,Michael Andretti,AND,McLaren Ford,1:21.360
8,27,Jean Alesi,ALE,Ferrari,1:21.767
9,30,Jyrki Jarvilehto,JAR,Sauber,1:22.047
10,12,Johnny Herbert,HER,Lotus Ford,1:22.470
11,28,Gerhard Berger,BER,Ferrari,1:22.655
12,26,Mark Blundell,BLU,Ligier Renault,1:22.708
13,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:22.887
14,20,Erik Comas,COM,Larrousse Lamborghini,1:22.904
15,11,Alessandro Zanardi,ZAN,Lotus Ford,1:23.026
16,9,Derek Warwick,WAR,Footwork Mugen Honda,1:23.086
17,14,Rubens Barrichello,BAR,Jordan Hart,1:23.232
18,25,Martin Brundle,BRU,Ligier Renault,1:23.357
19,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:23.432
20,23,Christian Fittipaldi,FIT,Minardi Ford,1:23.449
21,15,Thierry Boutsen,BOU,Jordan Hart,1:23.464
22,22,Luca Badoer,BAD,Lola Ferrari,1:24.268
23,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:24.291
24,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:24.358
25,24,Fabrizio Barbazza,BAR,Minardi Ford,1:24.399
26,21,Michele Alboreto,ALB,Lola Ferrari,1:25.396
