Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,Williams Renault,1:47.571
2,0,Damon Hill,HIL,Williams Renault,1:48.466
3,5,Michael Schumacher,MSC,Benetton Ford,1:49.075
4,27,Jean Alesi,ALE,Ferrari,1:49.825
5,8,Ayrton Senna,SEN,McLaren Ford,1:49.934
6,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:50.329
7,9,Derek Warwick,WAR,Footwork Mugen Honda,1:50.628
8,6,Riccardo Patrese,PAT,Benetton Ford,1:51.017
9,30,Jyrki Jarvilehto,JAR,Sauber,1:51.048
10,12,Johnny Herbert,HER,Lotus Ford,1:51.139
11,25,Martin Brundle,BRU,Ligier Renault,1:51.350
12,29,Karl Wendlinger,WEN,Sauber,1:51.440
13,14,Rubens Barrichello,BAR,Jordan Hart,1:51.711
14,7,Michael Andretti,AND,McLaren Ford,1:51.833
15,26,Mark Blundell,BLU,Ligier Renault,1:51.916
16,28,Gerhard Berger,BER,Ferrari,1:52.080
17,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:52.647
18,19,Philippe Alliot,ALL,Larrousse Lamborghini,1:52.907
19,20,Erik Comas,COM,Larrousse Lamborghini,1:53.186
20,15,Thierry Boutsen,BOU,Jordan Hart,1:53.465
21,24,Pierluigi Martini,MAR,Minardi Ford,1:53.526
22,23,Christian Fittipaldi,FIT,Minardi Ford,1:53.942
23,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:54.551
24,22,Luca Badoer,BAD,Lola Ferrari,1:54.978
25,21,Michele Alboreto,ALB,Lola Ferrari,1:55.965
