Position,Driver Number,Driver,Driver Abbreviation,Car,Time
1,2,Alain Prost,PRO,Williams Renault,1:37.154
2,8,Ayrton Senna,SEN,McLaren Ford,1:37.284
3,7,Mika Hakkinen,HAK,McLaren Ford,1:37.326
4,5,Michael Schumacher,MSC,Benetton Ford,1:37.530
5,28,Gerhard Berger,BER,Ferrari,1:37.622
6,0,Damon Hill,HIL,Williams Renault,1:38.352
7,9,Derek Warwick,WAR,Footwork Mugen Honda,1:38.780
8,15,Eddie Irvine,IRV,Jordan Hart,1:38.966
9,10,Aguri Suzuki,SUZ,Footwork Mugen Honda,1:39.278
10,6,Riccardo Patrese,PAT,Benetton Ford,1:39.291
11,30,Jyrki Jarvilehto,JAR,Sauber,1:39.391
12,14,Rubens Barrichello,BAR,Jordan Hart,1:39.426
13,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:39.511
14,27,Jean Alesi,ALE,Ferrari,1:39.535
15,25,Martin Brundle,BRU,Ligier Renault,1:39.951
16,29,Karl Wendlinger,WEN,Sauber,1:40.153
17,26,Mark Blundell,BLU,Ligier Renault,1:40.696
18,4,Andrea de Cesaris,DEC,Tyrrell Yamaha,1:40.696
19,12,Johnny Herbert,HER,Lotus Ford,1:41.488
20,11,Pedro Lamy,LAM,Lotus Ford,1:41.600
21,20,Erik Comas,COM,Larrousse Lamborghini,1:41.769
22,24,Pierluigi Martini,MAR,Minardi Ford,1:41.989
23,19,Toshio Suzuki,SUZ,Larrousse Lamborghini,1:42.175
24,23,Jean-Marc Gounon,GOU,Minardi Ford,1:43.812
