Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,6,Ludovico Scarfiotti,SCA,Ferrari,68,1:47:14.800,9
2,4,Mike Parkes,PAR,Ferrari,68,+5.800s,6
3,12,Denny Hulme,HUL,Brabham Repco,68,+6.100s,4
4,16,Jochen Rindt,RIN,Cooper Maserati,67,+1 lap,3
5,42,Mike Spence,SPE,Lotus BRM,67,+1 lap,2
6,40,Bob Anderson,AND,Brabham Climax,66,+2 laps,1
7,48,Bob Bondurant,BON,BRM,65,+3 laps,0
8,24,Peter Arundell,ARU,Lotus BRM,63,DNF,0
9,20,Giacomo Russo,RUS,Lotus Climax,63,+5 laps,0
NC,44,Giancarlo Baghetti,BAG,Ferrari,59,+9 laps,0
NC,22,Jim Clark,CLA,Lotus BRM,58,DNF,0
NC,36,Jo Siffert,SIF,Cooper Maserati,46,DNF,0
NC,2,Lorenzo Bandini,BAN,Ferrari,33,DNF,0
NC,14,John Surtees,SUR,Cooper Maserati,31,DNF,0
NC,18,Richie Ginther,GIN,Honda,16,DNF,0
NC,30,Dan Gurney,GUR,Eagle Weslake,7,DNF,0
NC,10,Jack Brabham,BRA,Brabham Repco,7,DNF,0
NC,28,Jackie Stewart,STE,BRM,5,DNF,0
NC,38,Jo Bonnier,BON,Cooper Maserati,3,DNF,0
NC,26,Graham Hill,HIL,BRM,0,DNF,0
