Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Jim Clark,CLA,Lotus BRM,108,2:09:40.100,9
2,8,Jochen Rindt,RIN,Cooper Maserati,107,+1 lap,6
3,7,John Surtees,SUR,Cooper Maserati,107,+1 lap,4
4,19,Jo Siffert,SIF,Cooper Maserati,105,+3 laps,3
5,17,Bruce McLaren,MCL,McLaren Ford,105,+3 laps,2
6,2,Peter Arundell,ARU,Lotus Climax,101,+7 laps,1
NC,10,Innes Ireland,IRE,BRM,96,DNF,0
NC,12,Richie Ginther,GIN,Honda,81,+27 laps,0
NC,18,Mike Spence,SPE,Lotus BRM,74,DNF,0
NC,14,Ronnie Bucknum,BUC,Honda,58,DNF,0
NC,22,Jo Bonnier,BON,Cooper Maserati,57,+51 laps,0
NC,5,Jack Brabham,BRA,Brabham Repco,55,DNF,0
NC,4,Jackie Stewart,STE,BRM,53,DNF,0
NC,3,Graham Hill,HIL,BRM,52,DNF,0
NC,9,Lorenzo Bandini,BAN,Ferrari,34,DNF,0
NC,6,Denny Hulme,HUL,Brabham Repco,18,DNF,0
NC,15,Dan Gurney,GUR,Eagle Weslake,13,DNF,0
NC,11,Pedro Rodriguez,ROD,Lotus BRM,13,DNF,0
DQ,16,Bob Bondurant,BON,Eagle Weslake,5,DSQ,0
