Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,7,David Coulthard,COU,McLaren Mercedes,1:25.852,12
2,3,Michael Schumacher,MSC,Ferrari,1:26.251,12
3,8,Mika Hakkinen,HAK,McLaren Mercedes,1:26.632,12
4,4,Eddie Irvine,IRV,Ferrari,1:26.780,11
5,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:26.827,12
6,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:26.876,12
7,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:26.941,12
8,6,Alexander Wurz,WUR,Benetton Playlife,1:27.198,12
9,9,Damon Hill,HIL,Jordan Mugen Honda,1:27.483,12
10,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:27.836,12
11,14,Jean Alesi,ALE,Sauber Petronas,1:27.839,11
12,15,Johnny Herbert,HER,Sauber Petronas,1:28.016,11
13,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:28.811,12
14,18,Rubens Barrichello,BAR,Stewart Ford,1:29.249,12
15,11,Olivier Panis,PAN,Prost Peugeot,1:29.320,12
16,12,Jarno Trulli,TRU,Prost Peugeot,1:29.352,10
17,17,Mika Salo,SAL,Arrows,1:29.617,12
18,16,Pedro Diniz,DIN,Arrows,1:30.022,11
19,22,Shinji Nakano,NAK,Minardi Ford,1:30.054,12
20,23,Esteban Tuero,TUE,Minardi Ford,1:30.158,12
21,20,Ricardo Rosset,ROS,Tyrrell Ford,1:30.437,12
22,19,Jan Magnussen,MAG,Stewart Ford,1:31.178,11
