Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,7,David Coulthard,COU,McLaren Mercedes,1:18.213,11
2,8,Mika Hakkinen,HAK,McLaren Mercedes,1:18.282,11
3,3,Michael Schumacher,MSC,Ferrari,1:18.497,12
4,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:18.826,12
5,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:19.242,12
6,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:19.588,12
7,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:19.614,12
8,4,Eddie Irvine,IRV,Ferrari,1:19.616,12
9,14,Jean Alesi,ALE,Sauber Petronas,1:19.693,12
10,9,Damon Hill,HIL,Jordan Mugen Honda,1:19.717,12
11,6,Alexander Wurz,WUR,Benetton Playlife,1:19.765,12
12,15,Johnny Herbert,HER,Sauber Petronas,1:19.845,12
13,18,Rubens Barrichello,BAR,Stewart Ford,1:19.953,8
14,12,Jarno Trulli,TRU,Prost Peugeot,1:20.188,11
15,11,Olivier Panis,PAN,Prost Peugeot,1:20.303,11
16,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:20.328,12
17,17,Mika Salo,SAL,Arrows,1:20.536,12
18,22,Shinji Nakano,NAK,Minardi Ford,1:21.230,12
19,16,Pedro Diniz,DIN,Arrows,1:21.301,12
20,19,Jan Magnussen,MAG,Stewart Ford,1:21.629,11
21,23,Esteban Tuero,TUE,Minardi Ford,1:21.822,12
22,20,Ricardo Rosset,ROS,Tyrrell Ford,1:21.824,12
