Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Mika Hakkinen,HAK,McLaren Mercedes,1:41.838,12
2,7,David Coulthard,COU,McLaren Mercedes,1:42.347,9
3,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:42.365,12
4,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:42.994,12
5,9,Damon Hill,HIL,Jordan Mugen Honda,1:43.183,12
6,4,Eddie Irvine,IRV,Ferrari,1:43.270,11
7,6,Alexander Wurz,WUR,Benetton Playlife,1:43.341,11
8,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:43.369,12
9,3,Michael Schumacher,MSC,Ferrari,1:43.459,12
10,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:43.467,11
11,14,Jean Alesi,ALE,Sauber Petronas,1:43.663,12
12,15,Johnny Herbert,HER,Sauber Petronas,1:44.599,11
13,18,Rubens Barrichello,BAR,Stewart Ford,1:44.776,12
14,12,Jarno Trulli,TRU,Prost Peugeot,1:44.844,12
15,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:44.961,11
16,11,Olivier Panis,PAN,Prost Peugeot,1:45.197,12
17,17,Mika Salo,SAL,Arrows,1:45.276,12
18,16,Pedro Diniz,DIN,Arrows,1:45.588,12
19,19,Jos Verstappen,VER,Stewart Ford,1:45.623,11
20,22,Shinji Nakano,NAK,Minardi Ford,1:46.713,12
21,23,Esteban Tuero,TUE,Minardi Ford,1:47.265,12
