Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Mika Hakkinen,HAK,McLaren Mercedes,1:14.929,12
2,3,Michael Schumacher,MSC,Ferrari,1:15.159,12
3,7,David Coulthard,COU,McLaren Mercedes,1:15.333,12
4,4,Eddie Irvine,IRV,Ferrari,1:15.527,12
5,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:15.630,12
6,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:15.925,12
7,9,Damon Hill,HIL,Jordan Mugen Honda,1:16.245,9
8,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:16.319,12
9,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:16.375,12
10,6,Alexander Wurz,WUR,Benetton Playlife,1:16.460,12
11,14,Jean Alesi,ALE,Sauber Petronas,1:16.627,12
12,12,Jarno Trulli,TRU,Prost Peugeot,1:16.892,12
13,15,Johnny Herbert,HER,Sauber Petronas,1:16.977,12
14,18,Rubens Barrichello,BAR,Stewart Ford,1:17.024,12
15,19,Jos Verstappen,VER,Stewart Ford,1:17.604,11
16,11,Olivier Panis,PAN,Prost Peugeot,1:17.671,11
17,16,Pedro Diniz,DIN,Arrows,1:17.880,8
18,20,Ricardo Rosset,ROS,Tyrrell Ford,1:17.908,11
19,17,Mika Salo,SAL,Arrows,1:17.970,11
20,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:18.221,10
21,22,Shinji Nakano,NAK,Minardi Ford,1:18.273,12
22,23,Esteban Tuero,TUE,Minardi Ford,1:19.146,10
