Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,7,David Coulthard,COU,McLaren Mercedes,1:25.973,11
2,8,Mika Hakkinen,HAK,McLaren Mercedes,1:26.075,12
3,3,Michael Schumacher,MSC,Ferrari,1:26.437,11
4,4,Eddie Irvine,IRV,Ferrari,1:27.169,12
5,6,Alexander Wurz,WUR,Benetton Playlife,1:27.273,11
6,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:27.390,12
7,9,Damon Hill,HIL,Jordan Mugen Honda,1:27.592,11
8,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:27.645,12
9,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:27.866,11
10,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:27.937,12
11,15,Johnny Herbert,HER,Sauber Petronas,1:28.111,11
12,14,Jean Alesi,ALE,Sauber Petronas,1:28.191,11
13,11,Olivier Panis,PAN,Prost Peugeot,1:28.270,12
14,17,Mika Salo,SAL,Arrows,1:28.798,11
15,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:29.073,12
16,12,Jarno Trulli,TRU,Prost Peugeot,1:29.584,11
17,18,Rubens Barrichello,BAR,Stewart Ford,1:29.641,11
18,16,Pedro Diniz,DIN,Arrows,1:29.932,12
19,23,Esteban Tuero,TUE,Minardi Ford,1:30.649,12
20,19,Jan Magnussen,MAG,Stewart Ford,1:31.017,11
21,22,Shinji Nakano,NAK,Minardi Ford,1:31.255,6
22,20,Ricardo Rosset,ROS,Tyrrell Ford,1:31.482,12
