Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:25.289,9
2,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:25.561,12
3,8,Mika Hakkinen,HAK,McLaren Mercedes,1:25.679,10
4,7,David Coulthard,COU,McLaren Mercedes,1:25.987,11
5,4,Eddie Irvine,IRV,Ferrari,1:26.159,11
6,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:26.309,11
7,6,Alexander Wurz,WUR,Benetton Playlife,1:26.567,10
8,14,Jean Alesi,ALE,Sauber Petronas,1:26.637,12
9,11,Olivier Panis,PAN,Prost Peugeot,1:26.681,11
10,12,Jarno Trulli,TRU,Prost Peugeot,1:26.794,12
11,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:26.817,10
12,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:26.836,10
13,18,Rubens Barrichello,BAR,Stewart Ford,1:27.247,10
14,9,Damon Hill,HIL,Jordan Mugen Honda,1:27.362,12
15,15,Johnny Herbert,HER,Sauber Petronas,1:27.510,9
16,17,Mika Salo,SAL,Arrows,1:27.744,9
17,19,Jos Verstappen,VER,Stewart Ford,1:28.212,11
18,20,Ricardo Rosset,ROS,Tyrrell Ford,1:28.286,12
19,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:28.346,8
20,16,Pedro Diniz,DIN,Arrows,1:28.387,9
21,22,Shinji Nakano,NAK,Minardi Ford,1:29.101,9
22,23,Esteban Tuero,TUE,Minardi Ford,1:29.417,12
