Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:18.561,11
2,4,Eddie Irvine,IRV,Ferrari,1:18.907,12
3,8,Mika Hakkinen,HAK,McLaren Mercedes,1:18.940,12
4,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:19.048,12
5,7,David Coulthard,COU,McLaren Mercedes,1:19.169,12
6,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:19.455,11
7,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:19.522,12
8,6,Alexander Wurz,WUR,Benetton Playlife,1:19.569,12
9,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:19.631,12
10,9,Damon Hill,HIL,Jordan Mugen Honda,1:19.807,12
11,14,Jean Alesi,ALE,Sauber Petronas,1:20.493,11
12,18,Rubens Barrichello,BAR,Stewart Ford,1:20.530,12
13,15,Johnny Herbert,HER,Sauber Petronas,1:20.650,12
14,12,Jarno Trulli,TRU,Prost Peugeot,1:20.709,12
15,11,Olivier Panis,PAN,Prost Peugeot,1:21.048,12
16,17,Mika Salo,SAL,Arrows,1:21.120,12
17,16,Pedro Diniz,DIN,Arrows,1:21.258,12
18,19,Jos Verstappen,VER,Stewart Ford,1:21.501,12
19,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:21.525,12
20,22,Shinji Nakano,NAK,Minardi Ford,1:22.078,12
21,23,Esteban Tuero,TUE,Minardi Ford,1:22.146,12
22,20,Ricardo Rosset,ROS,Tyrrell Ford,1:22.822,12
