Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Mika Hakkinen,HAK,McLaren Mercedes,1:16.973,11
2,7,David Coulthard,COU,McLaren Mercedes,1:17.131,11
3,3,Michael Schumacher,MSC,Ferrari,1:17.366,10
4,9,Damon Hill,HIL,Jordan Mugen Honda,1:18.214,12
5,4,Eddie Irvine,IRV,Ferrari,1:18.325,12
6,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:18.337,12
7,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:19.029,12
8,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:19.050,12
9,6,Alexander Wurz,WUR,Benetton Playlife,1:19.063,12
10,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:19.171,12
11,14,Jean Alesi,ALE,Sauber Petronas,1:19.210,12
12,16,Pedro Diniz,DIN,Arrows,1:19.706,12
13,17,Mika Salo,SAL,Arrows,1:19.712,12
14,18,Rubens Barrichello,BAR,Stewart Ford,1:19.876,11
15,15,Johnny Herbert,HER,Sauber Petronas,1:19.878,11
16,12,Jarno Trulli,TRU,Prost Peugeot,1:20.042,12
17,19,Jos Verstappen,VER,Stewart Ford,1:20.198,12
18,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:20.354,12
19,22,Shinji Nakano,NAK,Minardi Ford,1:20.635,12
20,11,Olivier Panis,PAN,Prost Peugeot,1:20.663,12
21,23,Esteban Tuero,TUE,Minardi Ford,1:21.725,12
NC,20,Ricardo Rosset,ROS,Tyrrell Ford,1:23.140,11
