Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
brazil,13 Mar 1983,Nelson Piquet,PIQ,Brabham BMW,63,1:48:27.731
usa-west,27 Mar 1983,John Watson,WAT,McLaren Ford,75,1:53:34.889
france,17 Apr 1983,Alain Prost,PRO,Renault,54,1:34:13.913
san-marino,01 May 1983,Patrick Tambay,TAM,Ferrari,60,1:37:52.460
monaco,15 May 1983,Keke Rosberg,ROS,Williams Ford,76,1:56:38.121
belgium,22 May 1983,Alain Prost,PRO,Renault,40,1:27:11.502
detroit,05 Jun 1983,Michele Alboreto,ALB,Tyrrell Ford,60,1:50:53.669
canada,12 Jun 1983,Rene Arnoux,ARN,Ferrari,70,1:48:31.838
great-britain,16 Jul 1983,Alain Prost,PRO,Renault,67,1:24:39.780
germany,07 Aug 1983,Rene Arnoux,ARN,Ferrari,45,1:27:10.319
austria,14 Aug 1983,Alain Prost,PRO,Renault,53,1:24:32.745
netherlands,28 Aug 1983,Rene Arnoux,ARN,Ferrari,72,1:38:41.950
italy,11 Sep 1983,Nelson Piquet,PIQ,Brabham BMW,52,1:23:10.880
europe,25 Sep 1983,Nelson Piquet,PIQ,Brabham BMW,76,1:36:45.865
south-africa,15 Oct 1983,Riccardo Patrese,PAT,Brabham BMW,77,1:33:25.708
