Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Jacques Villeneuve,VIL,Williams Renault,1:29.369,12
2,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:31.123,12
3,5,Michael Schumacher,MSC,Ferrari,1:31.472,10
4,10,David Coulthard,COU,McLaren Mercedes,1:31.531,12
5,6,Eddie Irvine,IRV,Ferrari,1:31.881,12
6,9,Mika Hakkinen,HAK,McLaren Mercedes,1:31.971,12
7,16,Johnny Herbert,HER,Sauber Petronas,1:32.287,12
8,7,Jean Alesi,ALE,Benetton Renault,1:32.593,9
9,14,Olivier Panis,PAN,Prost Mugen Honda,1:32.842,11
10,8,Gerhard Berger,BER,Benetton Renault,1:32.870,8
11,22,Rubens Barrichello,BAR,Stewart Ford,1:33.075,9
12,11,Ralf Schumacher,RSC,Jordan Peugeot,1:33.130,11
13,17,Nicola Larini,LAR,Sauber Petronas,1:33.327,11
14,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:33.552,11
15,20,Ukyo Katayama,KAT,Minardi Hart,1:33.798,12
16,15,Shinji Nakano,NAK,Prost Mugen Honda,1:33.989,11
17,21,Jarno Trulli,TRU,Minardi Hart,1:34.120,12
18,19,Mika Salo,SAL,Tyrrell Ford,1:34.229,11
19,23,Jan Magnussen,MAG,Stewart Ford,1:34.623,9
20,1,Damon Hill,HIL,Arrows Yamaha,1:34.806,12
21,18,Jos Verstappen,VER,Tyrrell Ford,1:34.943,11
22,2,Pedro Diniz,DIN,Arrows Yamaha,1:35.972,8
23,24,Vincenzo Sospiri,SOS,Lola Ford,1:40.972,11
24,25,Ricardo Rosset,ROS,Lola Ford,1:42.086,9
