Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Jacques Villeneuve,VIL,Williams Renault,1:21.598,12
2,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:21.732,11
3,9,Mika Hakkinen,HAK,McLaren Mercedes,1:21.797,8
4,5,Michael Schumacher,MSC,Ferrari,1:21.977,12
5,11,Ralf Schumacher,RSC,Jordan Peugeot,1:22.277,12
6,10,David Coulthard,COU,McLaren Mercedes,1:22.279,11
7,6,Eddie Irvine,IRV,Ferrari,1:22.342,12
8,8,Alexander Wurz,WUR,Benetton Renault,1:22.344,12
9,16,Johnny Herbert,HER,Sauber Petronas,1:22.368,12
10,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:22.371,11
11,7,Jean Alesi,ALE,Benetton Renault,1:22.392,11
12,1,Damon Hill,HIL,Arrows Yamaha,1:23.271,11
13,14,Jarno Trulli,TRU,Prost Mugen Honda,1:23.366,12
14,17,Norberto Fontana,FON,Sauber Petronas,1:23.790,12
15,15,Shinji Nakano,NAK,Prost Mugen Honda,1:23.887,11
16,23,Jan Magnussen,MAG,Stewart Ford,1:24.067,10
17,2,Pedro Diniz,DIN,Arrows Yamaha,1:24.239,12
18,19,Mika Salo,SAL,Tyrrell Ford,1:24.478,12
19,20,Ukyo Katayama,KAT,Minardi Hart,1:24.553,12
20,18,Jos Verstappen,VER,Tyrrell Ford,1:25.010,12
21,21,Tarso Marques,MAR,Minardi Hart,1:25.154,12
22,22,Rubens Barrichello,BAR,Stewart Ford,1:25.525,4
