Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Michael Schumacher,MSC,Ferrari,1:14.672,11
2,3,Jacques Villeneuve,VIL,Williams Renault,1:14.859,11
3,1,Damon Hill,HIL,Arrows Yamaha,1:15.044,12
4,9,Mika Hakkinen,HAK,McLaren Mercedes,1:15.140,10
5,6,Eddie Irvine,IRV,Ferrari,1:15.424,11
6,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:15.520,12
7,8,Gerhard Berger,BER,Benetton Renault,1:15.699,9
8,10,David Coulthard,COU,McLaren Mercedes,1:15.705,11
9,7,Jean Alesi,ALE,Benetton Renault,1:15.905,12
10,16,Johnny Herbert,HER,Sauber Petronas,1:16.138,12
11,22,Rubens Barrichello,BAR,Stewart Ford,1:16.138,12
12,14,Jarno Trulli,TRU,Prost Mugen Honda,1:16.297,12
13,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:16.300,12
14,11,Ralf Schumacher,RSC,Jordan Peugeot,1:16.686,12
15,17,Gianni Morbidelli,MOR,Sauber Petronas,1:16.766,12
16,15,Shinji Nakano,NAK,Prost Mugen Honda,1:16.784,12
17,23,Jan Magnussen,MAG,Stewart Ford,1:16.858,12
18,18,Jos Verstappen,VER,Tyrrell Ford,1:17.095,12
19,2,Pedro Diniz,DIN,Arrows Yamaha,1:17.118,12
20,20,Ukyo Katayama,KAT,Minardi Hart,1:17.232,12
21,19,Mika Salo,SAL,Tyrrell Ford,1:17.482,11
22,21,Tarso Marques,MAR,Minardi Hart,1:18.020,11
