Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,7,Jean Alesi,ALE,Benetton Renault,1:22.990,10
2,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:23.042,11
3,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:23.066,12
4,3,Jacques Villeneuve,VIL,Williams Renault,1:23.231,11
5,9,Mika Hakkinen,HAK,McLaren Mercedes,1:23.340,10
6,10,David Coulthard,COU,McLaren Mercedes,1:23.347,11
7,8,Gerhard Berger,BER,Benetton Renault,1:23.443,11
8,11,Ralf Schumacher,RSC,Jordan Peugeot,1:23.603,11
9,5,Michael Schumacher,MSC,Ferrari,1:23.624,12
10,6,Eddie Irvine,IRV,Ferrari,1:23.891,12
11,22,Rubens Barrichello,BAR,Stewart Ford,1:24.177,11
12,16,Johnny Herbert,HER,Sauber Petronas,1:24.242,11
13,23,Jan Magnussen,MAG,Stewart Ford,1:24.394,11
14,1,Damon Hill,HIL,Arrows Yamaha,1:24.482,12
15,15,Shinji Nakano,NAK,Prost Mugen Honda,1:24.553,11
16,14,Jarno Trulli,TRU,Prost Mugen Honda,1:24.567,12
17,2,Pedro Diniz,DIN,Arrows Yamaha,1:24.639,12
18,17,Gianni Morbidelli,MOR,Sauber Petronas,1:24.735,11
19,19,Mika Salo,SAL,Tyrrell Ford,1:25.693,8
20,18,Jos Verstappen,VER,Tyrrell Ford,1:25.845,12
21,20,Ukyo Katayama,KAT,Minardi Hart,1:26.655,10
22,21,Tarso Marques,MAR,Minardi Hart,1:27.677,10
