Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:18.216,12
2,5,Michael Schumacher,MSC,Ferrari,1:18.235,11
3,3,Jacques Villeneuve,VIL,Williams Renault,1:18.583,11
4,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:18.665,12
5,10,David Coulthard,COU,McLaren Mercedes,1:18.779,12
6,11,Ralf Schumacher,RSC,Jordan Peugeot,1:18.943,11
7,16,Johnny Herbert,HER,Sauber Petronas,1:19.105,12
8,9,Mika Hakkinen,HAK,McLaren Mercedes,1:19.119,12
9,7,Jean Alesi,ALE,Benetton Renault,1:19.263,9
10,22,Rubens Barrichello,BAR,Stewart Ford,1:19.295,12
11,17,Nicola Larini,LAR,Sauber Petronas,1:19.468,12
12,14,Olivier Panis,PAN,Prost Mugen Honda,1:19.626,12
13,1,Damon Hill,HIL,Arrows Yamaha,1:19.674,12
14,19,Mika Salo,SAL,Tyrrell Ford,1:19.694,12
15,6,Eddie Irvine,IRV,Ferrari,1:19.723,12
16,2,Pedro Diniz,DIN,Arrows Yamaha,1:19.860,12
17,8,Gerhard Berger,BER,Benetton Renault,1:20.199,11
18,21,Jarno Trulli,TRU,Minardi Hart,1:20.349,12
19,23,Jan Magnussen,MAG,Stewart Ford,1:20.516,11
20,20,Ukyo Katayama,KAT,Minardi Hart,1:20.606,12
21,15,Shinji Nakano,NAK,Prost Mugen Honda,1:20.961,12
22,18,Jos Verstappen,VER,Tyrrell Ford,1:21.290,11
