Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Jacques Villeneuve,VIL,Williams Renault,1:21.072,11
2,5,Michael Schumacher,MSC,Ferrari,1:21.072,11
3,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:21.072,12
4,1,Damon Hill,HIL,Arrows Yamaha,1:21.130,12
5,9,Mika Hakkinen,HAK,McLaren Mercedes,1:21.369,11
6,10,David Coulthard,COU,McLaren Mercedes,1:21.476,10
7,6,Eddie Irvine,IRV,Ferrari,1:21.610,11
8,8,Gerhard Berger,BER,Benetton Renault,1:21.656,11
9,14,Olivier Panis,PAN,Prost Mugen Honda,1:21.735,11
10,7,Jean Alesi,ALE,Benetton Renault,1:22.011,11
11,23,Jan Magnussen,MAG,Stewart Ford,1:22.167,11
12,22,Rubens Barrichello,BAR,Stewart Ford,1:22.222,12
13,2,Pedro Diniz,DIN,Arrows Yamaha,1:22.234,11
14,16,Johnny Herbert,HER,Sauber Petronas,1:22.263,12
15,15,Shinji Nakano,NAK,Prost Mugen Honda,1:22.351,12
16,11,Ralf Schumacher,RSC,Jordan Peugeot,1:22.740,11
17,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:22.804,12
18,17,Norberto Fontana,FON,Sauber Petronas,1:23.281,12
19,20,Ukyo Katayama,KAT,Minardi Hart,1:23.409,12
20,21,Tarso Marques,MAR,Minardi Hart,1:23.854,12
21,19,Mika Salo,SAL,Tyrrell Ford,1:24.222,9
22,18,Jos Verstappen,VER,Tyrrell Ford,1:24.301,12
