Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Jacques Villeneuve,VIL,Williams Renault,1:16.525,12
2,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:16.791,11
3,10,David Coulthard,COU,McLaren Mercedes,1:17.521,12
4,7,Jean Alesi,ALE,Benetton Renault,1:17.717,11
5,9,Mika Hakkinen,HAK,McLaren Mercedes,1:17.737,11
6,8,Gerhard Berger,BER,Benetton Renault,1:18.041,11
7,5,Michael Schumacher,MSC,Ferrari,1:18.313,11
8,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:18.385,10
9,11,Ralf Schumacher,RSC,Jordan Peugeot,1:18.423,11
10,16,Johnny Herbert,HER,Sauber Petronas,1:18.494,12
11,6,Eddie Irvine,IRV,Ferrari,1:18.873,12
12,14,Olivier Panis,PAN,Prost Mugen Honda,1:19.157,12
13,17,Gianni Morbidelli,MOR,Sauber Petronas,1:19.323,12
14,19,Mika Salo,SAL,Tyrrell Ford,1:20.079,10
15,1,Damon Hill,HIL,Arrows Yamaha,1:20.089,11
16,15,Shinji Nakano,NAK,Prost Mugen Honda,1:20.103,12
17,22,Rubens Barrichello,BAR,Stewart Ford,1:20.255,12
18,21,Jarno Trulli,TRU,Minardi Hart,1:20.452,11
19,18,Jos Verstappen,VER,Tyrrell Ford,1:20.582,12
20,20,Ukyo Katayama,KAT,Minardi Hart,1:20.672,12
21,2,Pedro Diniz,DIN,Arrows Yamaha,1:21.029,12
22,23,Jan Magnussen,MAG,Stewart Ford,1:21.060,12
