Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Jacques Villeneuve,VIL,Williams Renault,1:24.473,12
2,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:25.271,12
3,14,Olivier Panis,PAN,Prost Mugen Honda,1:25.491,11
4,5,Michael Schumacher,MSC,Ferrari,1:25.773,10
5,22,Rubens Barrichello,BAR,Stewart Ford,1:25.942,12
6,11,Ralf Schumacher,RSC,Jordan Peugeot,1:26.218,11
7,6,Eddie Irvine,IRV,Ferrari,1:26.327,11
8,16,Johnny Herbert,HER,Sauber Petronas,1:26.564,12
9,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:26.619,11
10,10,David Coulthard,COU,McLaren Mercedes,1:26.799,11
11,7,Jean Alesi,ALE,Benetton Renault,1:27.076,12
12,8,Gerhard Berger,BER,Benetton Renault,1:27.259,10
13,1,Damon Hill,HIL,Arrows Yamaha,1:27.281,12
14,17,Nicola Larini,LAR,Sauber Petronas,1:27.690,11
15,23,Jan Magnussen,MAG,Stewart Ford,1:28.035,12
16,18,Jos Verstappen,VER,Tyrrell Ford,1:28.094,11
17,9,Mika Hakkinen,HAK,McLaren Mercedes,1:28.135,9
18,21,Jarno Trulli,TRU,Minardi Hart,1:28.160,12
19,19,Mika Salo,SAL,Tyrrell Ford,1:28.224,11
20,15,Shinji Nakano,NAK,Prost Mugen Honda,1:28.366,12
21,20,Ukyo Katayama,KAT,Minardi Hart,1:28.413,12
22,2,Pedro Diniz,DIN,Arrows Yamaha,1:28.969,12
