Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Gerhard Berger,BER,Benetton Renault,1:41.873,10
2,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:41.896,12
3,9,Mika Hakkinen,HAK,McLaren Mercedes,1:42.034,10
4,5,Michael Schumacher,MSC,Ferrari,1:42.181,11
5,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:42.421,12
6,7,Jean Alesi,ALE,Benetton Renault,1:42.493,10
7,11,Ralf Schumacher,RSC,Jordan Peugeot,1:42.498,12
8,10,David Coulthard,COU,McLaren Mercedes,1:42.687,10
9,3,Jacques Villeneuve,VIL,Williams Renault,1:42.967,12
10,6,Eddie Irvine,IRV,Ferrari,1:43.209,12
11,14,Jarno Trulli,TRU,Prost Mugen Honda,1:43.226,12
12,22,Rubens Barrichello,BAR,Stewart Ford,1:43.272,10
13,1,Damon Hill,HIL,Arrows Yamaha,1:43.361,12
14,16,Johnny Herbert,HER,Sauber Petronas,1:43.660,12
15,23,Jan Magnussen,MAG,Stewart Ford,1:43.927,10
16,2,Pedro Diniz,DIN,Arrows Yamaha,1:44.069,10
17,15,Shinji Nakano,NAK,Prost Mugen Honda,1:44.112,12
18,17,Norberto Fontana,FON,Sauber Petronas,1:44.552,12
19,19,Mika Salo,SAL,Tyrrell Ford,1:45.372,12
20,18,Jos Verstappen,VER,Tyrrell Ford,1:45.811,12
21,21,Tarso Marques,MAR,Minardi Hart,1:45.942,12
22,20,Ukyo Katayama,KAT,Minardi Hart,1:46.499,12
